row_label_raw,row_label_full,col_0,1/1/2019Triệu VND,Tăng từ hợp nhất kinh doanh(Thuyết minh 5)Triệu VND,Được ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhấtTriệu VND,31/12/2019Triệu VND,numeric__1/1/2019Triệu VND,numeric__Tăng từ hợp nhất kinh doanh(Thuyết minh 5)Triệu VND,numeric__Được ghi nhận vào báo cáo kết quả hoạt động kinh doanh hợp nhấtTriệu VND,numeric__31/12/2019Triệu VND
Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,Chi phí phải trả và dự phòng,234.274,-,(49.223),185.051,234274.0,,-49223.0,185051.0
Lãi chưa thực hiện đối với các giao dịch nội bộ,Lãi chưa thực hiện đối với các giao dịch nội bộ,Lãi chưa thực hiện đối với các giao dịch nội bộ,20.933,-,(1.126),19.807,20933.0,,-1126.0,19807.0
Lỗ tính thuế mang sang,Lỗ tính thuế mang sang,Lỗ tính thuế mang sang,38.380,-,(7.853),30.527,38380.0,,-7853.0,30527.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,(638.111),(76.708),37.959,(676.860),-638111.0,-76708.0,37959.0,-676860.0
Tài sản cố định vô hình,Tài sản cố định vô hình,Tài sản cố định vô hình,(711.661),(1.131.987),70.351,(1.773.297),-711661.0,-1131987.0,70351.0,-1773297.0
,,,(1.056.185),(1.208.695),50.108,(2.214.772),-1056185.0,-1208695.0,50108.0,-2214772.0
