row_label_raw,row_label_full,Bên liên quan,Tính chất giao dịch,2019Triệu VND,2018Triệu VND,numeric__Tính chất giao dịch,numeric__2019Triệu VND,numeric__2018Triệu VND
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
Ngân hàng Thương mại,Công ty liên kết > Ngân hàng Thương mại,Ngân hàng Thương mại,Khoản vay đã nhận,1.367.341,1.651.044,,1367341.0,1651044.0
Cổ phần Kỹ thương,Công ty liên kết > Cổ phần Kỹ thương,Cổ phần Kỹ thương,Khoản vay đã trả,1.498.588,1.406.719,,1498588.0,1406719.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Trái phiếu phát hành (đại lý phát hành) (*),3.500.000,3.800.000,,3500000.0,3800000.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Trái phiếu mua lại (đại lý thanh toán),3.000.000,885.204,,3000000.0,885204.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Mua chứng khoán kinh doanh,2.004.711,2.016.734,,2004711.0,2016734.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Bán chứng khoán kinh doanh,754.711,504.274,,754711.0,504274.0
Việt Nam và các công ty con,Công ty liên kết > Việt Nam và các công ty con,Việt Nam và các công ty con,Chi phí lãi vay,95.527,122.123,,95527.0,122123.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,,
Thành viên quản lý chủ chốt,Các bên liên quan khác > Thành viên quản lý chủ chốt,Thành viên quản lý chủ chốt,Thù lao trả cho Thành viên quản lý chủ chốt,151.832,148.983,,151832.0,148983.0
Thành viên trong Hội đồng,Các bên liên quan khác > Thành viên trong Hội đồng,Thành viên trong Hội đồng,Bán hàng cho một công ty liên quan của thành viên này,-,720.924,,,720924.0
Thành viên của một công ty con,Các bên liên quan khác > Thành viên của một công ty con,Thành viên của một công ty con,Mua hàng từ một công ty liên quan của thành viên này (**),725.042,-,,725042.0,
