row_label_raw,row_label_full,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính),Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_2,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_3,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_4,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTC ngày 22 tháng 12 năm 2014 của Bộ Tài chính)_5
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,
STT,STT,STT,Tên công ty,Hoạt động chính,Trụ sở,Tỷ lệ lợi ích tại31/12/2019,1/1/2019,,,,,
Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,Công ty con sở hữu trực tiếp,,,,,
1,Công ty con sở hữu trực tiếp > 1,1,Công ty TNHHMasanConsumerHoldings(“MCH”),Tư vấn quản lýđầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","60,0%","85,7%",,,,0.6,0.857
2,Công ty con sở hữu trực tiếp > 2,2,Công ty TNHH Tâm nhìn Masan(“MH”),Tư vấn quản lýđầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","99,9%","99,9%",,,,0.9990000000000001,0.9990000000000001
3,Công ty con sở hữu trực tiếp > 3,3,Công ty Cổ phần MasanMEATLife (trước đây là Công tyCổ phần Masan Nutri-Science)(“MML”),Tư vấn quản lýđầu tư,"Tầng 10, Tòa nhà Central Plaza, 17 Lê Duẩn,Phường Bến Nghé, Quận 1, Thành phố Hồ ChíMinh, Việt Nam","87,3%","80,8%",,,,0.873,0.8079999999999999
4,Công ty con sở hữu trực tiếp > 4,4,Công ty Cổ phần Phát triểnThương mại và Dịch vụ VCM(“VCM”)(a),Tư vấn quản lýđầu tư,"7 Đường Bằng Lăng 1, Khu Đô thị Sinh tháiVinhomes Riverside, Phường Việt Hưng, QuậnLong Biên, Thành phố Hà Nội, Việt Nam","58,6%",-,,,,0.586,
Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,Công ty con sở hữu gián tiếp,,,,,
1,Công ty con sở hữu gián tiếp > 1,1,Công ty TNHH Masan Brewery(“MB”),(i),Tư vấn quản lýđầu tư,"Phòng 802, Tầng 8, Tòa nhà Central Plaza, 17 LêDuẩn, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam","40,0%",,,,,0.4
2,Công ty con sở hữu gián tiếp > 2,2,Công ty TNHH Masan MasterBrewer (“MMBr”),(i),Kinh doanh biavà nước giải khát,"Tầng 10, Tòa nhà Central Plaza, 17 Lê Duẩn,Phường Bến Nghé, Quận 1, Thành phố Hồ ChíMinh, Việt Nam","40,0%",,,,,0.4
