row_label_raw,row_label_full,col_0,Tài sản khai khoáng khác Triệu VND,Chi phí đất trả trước Triệu VND,Chi phí bồi thường đất Triệu VND,"Trực in, công cụ và dụng cụ Triệu VND",Lợi thế kinh doanh từ cổ phần hóa Triệu VND,Heo giống Triệu VND,Chi phí khác Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng khác Triệu VND,numeric__Chi phí đất trả trước Triệu VND,numeric__Chi phí bồi thường đất Triệu VND,"numeric__Trực in, công cụ và dụng cụ Triệu VND",numeric__Lợi thế kinh doanh từ cổ phần hóa Triệu VND,numeric__Heo giống Triệu VND,numeric__Chi phí khác Triệu VND,numeric__Tổng Triệu VND
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,1.428.326,458.075,1.031.623,65.095,21.941,57.697,101.293,3.164.050,1428326.0,458075.0,1031623.0,65095.0,21941.0,57697.0,101293.0,3164050.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,175.641,4.556,-,35.045,-,67.202,69.199,351.643,175641.0,4556.0,,35045.0,,67202.0,69199.0,351643.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),-,454.878,-,1.301.741,-,-,653.798,2.410.417,,454878.0,,1301741.0,,,653798.0,2410417.0
Chuyển từ phải thu đãi hạn khác,Chuyển từ phải thu đãi hạn khác,Chuyển từ phải thu đãi hạn khác,-,-,49.060,-,-,-,-,49.060,,,49060.0,,,,,49060.0
Chuyển từ tài sản cổ định hữu hình,Chuyển từ tài sản cổ định hữu hình,Chuyển từ tài sản cổ định hữu hình,-,-,-,193,-,-,30,223,,,,193.0,,,30.0,223.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,3.871,-,52.237,-,-,16.779,72.887,,3871.0,,52237.0,,,16779.0,72887.0
Chuyển (sang)/từ chi phí trả trước ngắn hạn,Chuyển (sang)/từ chi phí trả trước ngắn hạn,Chuyển (sang)/từ chi phí trả trước ngắn hạn,-,-,-,(349),-,-,682,333,,,,-349.0,,,682.0,333.0
Phân bổ trong năm,Phân bổ trong năm,Phân bổ trong năm,(98.688),(10.768),(73.906),(56.108),(3.134),(29.701),(36.041),(308.346),-98688.0,-10768.0,-73906.0,-56108.0,-3134.0,-29701.0,-36041.0,-308346.0
Xóa số,Xóa số,Xóa số,-,-,-,(1.269),-,(19.194),(914),(21.377),,,,-1269.0,,-19194.0,-914.0,-21377.0
Thanh lý,Thanh lý,Thanh lý,-,(85.825),-,(13),-,-,-,(85.838),,-85825.0,,-13.0,,,,-85838.0
Phân loại lại,Phân loại lại,Phân loại lại,-,(396),-,(2),-,-,398,-,,-396.0,,-2.0,,,398.0,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,62,-,-,-,62,,,,62.0,,,,62.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,1.505.279,824.391,1.006.777,1.396.632,18.807,76.004,805.224,5.633.114,1505279.0,824391.0,1006777.0,1396632.0,18807.0,76004.0,805224.0,5633114.0
