row_label_raw,row_label_full,col_0,Tài sản khai khoáng Triệu VND,Nhà cửa và vật kiến trúc Triệu VND,Nâng cấp tài sản thuê Triệu VND,Thiết bị văn phòng Triệu VND,Máy móc và thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Tổng Triệu VND,numeric__Tài sản khai khoáng Triệu VND,numeric__Nhà cửa và vật kiến trúc Triệu VND,numeric__Nâng cấp tài sản thuê Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Máy móc và thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,5.026.292,8.402.718,90.493,148.333,18.140.112,98.708,31.906.656,5026292.0,8402718.0,90493.0,148333.0,18140112.0,98708.0,31906656.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,69.635,43.583,178,3.232,21.033,3.762,141.423,69635.0,43583.0,178.0,3232.0,21033.0,3762.0,141423.0
Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Nguyên giá > Tăng từ hợp nhất kinh doanh (Thuyết minh 5),Tăng từ hợp nhất kinh doanh (Thuyết minh 5),-,3.275.840,-,71.823,1.937.291,42.499,5.327.453,,3275840.0,,71823.0,1937291.0,42499.0,5327453.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,-,1.760.436,-,43.810,1.242.839,26.171,3.073.256,,1760436.0,,43810.0,1242839.0,26171.0,3073256.0
Chuyển sang chi phí trả trước dài hạn,Nguyên giá > Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,-,(88),-,(63),(361),(59),(571),,-88.0,,-63.0,-361.0,-59.0,-571.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(60.100),-,(791),(79.951),(14.436),(155.278),,-60100.0,,-791.0,-79951.0,-14436.0,-155278.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(25.321),(3.181),(2.466),(29.781),-,(60.749),,-25321.0,-3181.0,-2466.0,-29781.0,,-60749.0
Điều chỉnh khác (Thuyết minh 36),Nguyên giá > Điều chỉnh khác (Thuyết minh 36),Điều chỉnh khác (Thuyết minh 36),-,(90.599),-,-,(893.563),-,(984.162),,-90599.0,,,-893563.0,,-984162.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,158,-,-,(158),-,-,,158.0,,,-158.0,,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,5.095.927,13.306.627,87.490,263.878,20.337.461,156.645,39.248.028,5095927.0,13306627.0,87490.0,263878.0,20337461.0,156645.0,39248028.0
