row_label_raw,row_label_full,Thuế giá trị gia tăng,Tăng từ hợp nhất > 1/1/2019Triệu VND > 92.151,Tăng từ hợp nhất > kinh doanhTriệu VND > -,Tăng từ hợp nhất > Phát sinhTriệu VND > 4.085.252,Tăng từ hợp nhất > NộpTriệu VND > (1.082.061),Cần trừ/Phân loại lạiTriệu VND > (2.945.560),31/12/2019Triệu VND > 149.782,numeric__Tăng từ hợp nhất > 1/1/2019Triệu VND > 92.151,numeric__Tăng từ hợp nhất > kinh doanhTriệu VND > -,numeric__Tăng từ hợp nhất > Phát sinhTriệu VND > 4.085.252,numeric__Tăng từ hợp nhất > NộpTriệu VND > (1.082.061),numeric__Cần trừ/Phân loại lạiTriệu VND > (2.945.560),numeric__31/12/2019Triệu VND > 149.782
Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,Thuế tiêu thụ đặc biệt,12.206,-,207.047,(197.887),-,21.366,12206.0,,207047.0,-197887.0,,21366.0
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,272.640,-,790.583,(600.760),680,463.143,272640.0,,790583.0,-600760.0,680.0,463143.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,49.273,48.395,343.821,(310.131),-,131.358,49273.0,48395.0,343821.0,-310131.0,,131358.0
Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,623,-,358.938,(359.436),-,125,623.0,,358938.0,-359436.0,,125.0
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,2.968,338,606.576,(605.372),(280),4.230,2968.0,338.0,606576.0,-605372.0,-280.0,4230.0
,,,429.861,48.733,6.392.217,(3.155.647),(2.945.160),770.004,429861.0,48733.0,6392217.0,-3155647.0,-2945160.0,770004.0
