row_label_raw,row_label_full,col_0,Vốn cổ phần Triệu VND,Thặng dư vốn cổ phần Triệu VND,Vốn khác của chủ sở hữu Triệu VND,Chênh lệch tỷ giá hối đoái Triệu VND,Lợi nhuận sau thuế chưa phân phối Triệu VND,Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,Lợi ích cổ đông không kiểm soát Triệu VND,Tổng Triệu VND,numeric__Vốn cổ phần Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Vốn khác của chủ sở hữu Triệu VND,numeric__Chênh lệch tỷ giá hối đoái Triệu VND,numeric__Lợi nhuận sau thuế chưa phân phối Triệu VND,numeric__Vốn chủ sở hữu thuộc về cổ đông của Công ty Triệu VND,numeric__Lợi ích cổ đông không kiểm soát Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,11.631.495,11.084.417,(9.426.958),4.402,16.193.388,29.486.744,4.592.934,34.079.678,11631495.0,11084417.0,-9426958.0,4402.0,16193388.0,29486744.0,4592934.0,34079678.0
Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,Phát hành cổ phiếu mới,57.969,(60),-,-,-,57.909,-,57.909,57969.0,-60.0,,,,57909.0,,57909.0
Giao dịch với cổ đông không kiểm soát (Thuyết minh 7),Giao dịch với cổ đông không kiểm soát (Thuyết minh 7),Giao dịch với cổ đông không kiểm soát (Thuyết minh 7),-,-,-,-,7.679.439,7.679.439,(366.986),7.312.453,,,,,7679439.0,7679439.0,-366986.0,7312453.0
Hợp nhất kinh doanh (Thuyết minh 5),Hợp nhất kinh doanh (Thuyết minh 5),Hợp nhất kinh doanh (Thuyết minh 5),-,-,-,-,-,-,4.467.897,4.467.897,,,,,,,4467897.0,4467897.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,5.557.571,5.557.571,807.044,6.364.615,,,,,5557571.0,5557571.0,807044.0,6364615.0
Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,Cổ tức đã phân phối của các công ty con,-,-,-,-,-,-,(393.817),(393.817),,,,,,,-393817.0,-393817.0
Cổ tức bằng cổ phiếu đã phân phối của một công ty con,Cổ tức bằng cổ phiếu đã phân phối của một công ty con,Cổ tức bằng cổ phiếu đã phân phối của một công ty con,-,-,863.268,-,(863.268),-,-,-,,,863268.0,,-863268.0,,,
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,-,6.631,-,6.631,1.561,8.192,,,,6631.0,,6631.0,1561.0,8192.0
Khác,Khác,Khác,-,-,-,-,(8.178),(8.178),(342),(8.520),,,,,-8178.0,-8178.0,-342.0,-8520.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,11.689.464,11.084.357,(8.563.690),11.033,28.558.952,42.780.116,9.108.291,51.888.407,11689464.0,11084357.0,-8563690.0,11033.0,28558952.0,42780116.0,9108291.0,51888407.0
