row_label_raw,row_label_full,col_0,Nông nghiệp,Thương mại và dịch vụ,Loại trừ,Ngàn VND Tổng cộng,numeric__Nông nghiệp,numeric__Thương mại và dịch vụ,numeric__Loại trừ,numeric__Ngàn VND Tổng cộng
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,,,,
Doanh thu,Doanh thu,Doanh thu,,,,,,,,
Từ khách hàng bên ngoài,Doanh thu > Từ khách hàng bên ngoài,Từ khách hàng bên ngoài,1.626.044.667,184.730.363,-,1.810.775.030,1626044667.0,184730363.0,,1810775030.0
Giữa các bộ phận,Doanh thu > Giữa các bộ phận,Giữa các bộ phận,1.197.808.050,723.564.640,(1.921.372.690),-,1197808050.0,723564640.0,-1921372690.0,
Tổng cộng,Doanh thu > Tổng cộng,Tổng cộng,2.823.852.717,908.295.003,(1.921.372.690),1.810.775.030,2823852717.0,908295003.0,-1921372690.0,1810775030.0
Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,Kết quả hoạt động kinh doanh,,,,,,,,
Kết quả của bộ phận,Kết quả hoạt động kinh doanh > Kết quả của bộ phận,Kết quả của bộ phận,1.375.634.748,758.901.298,(1.921.372.690),213.163.356,1375634748.0,758901298.0,-1921372690.0,213163356.0
Chi phí hoạt động,Kết quả hoạt động kinh doanh > Chi phí hoạt động,Chi phí hoạt động,,,,(2.178.020.969),,,,-2178020969.0
"Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Kết quả hoạt động kinh doanh > Lỗ trước thuế, doanh thu tài chính và chi phí tài chính","Lỗ trước thuế, doanh thu tài chính và chi phí tài chính",,,,(1.964.857.613),,,,-1964857613.0
Doanh thu tài chính,Kết quả hoạt động kinh doanh > Doanh thu tài chính,Doanh thu tài chính,,,,256.474.243,,,,256474243.0
Chi phí tài chính,Kết quả hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,(693.201.444),,,,-693201444.0
Chia lãi trong công ty liên kết,Kết quả hoạt động kinh doanh > Chia lãi trong công ty liên kết,Chia lãi trong công ty liên kết,,,,26.497.251,,,,26497251.0
Lỗ kế toán trước thuế,Kết quả hoạt động kinh doanh > Lỗ kế toán trước thuế,Lỗ kế toán trước thuế,,,,(2.375.087.563),,,,-2375087563.0
Chi phí thuế TNDN hiện hành,Kết quả hoạt động kinh doanh > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,,,,(795.616),,,,-795616.0
Chi phí thuế thu nhập hoãn lại,Kết quả hoạt động kinh doanh > Chi phí thuế thu nhập hoãn lại,Chi phí thuế thu nhập hoãn lại,,,,(68.518.150),,,,-68518150.0
Lỗ thuần trong năm,Kết quả hoạt động kinh doanh > Lỗ thuần trong năm,Lỗ thuần trong năm,,,,(2.444.401.329),,,,-2444401329.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,,,,
Tài sản của bộ phận,Tài sản và nợ phải trả > Tài sản của bộ phận,Tài sản của bộ phận,20.655.979.903,2.197.536.640,-,22.853.516.543,20655979903.0,2197536640.0,,22853516543.0
Tiền,Tài sản và nợ phải trả > Tiền,Tiền,,,,111.485.200,,,,111485200.0
Đầu tư vào công ty liên kết,Tài sản và nợ phải trả > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,315.487.353,,,,315487353.0
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,,,,23.280.489.096,,,,23280489096.0
Nợ phải trả của bộ phận,Tài sản và nợ phải trả > Nợ phải trả của bộ phận,Nợ phải trả của bộ phận,(9.164.825.574),(4.377.710.902),-,(13.542.536.476),-9164825574.0,-4377710902.0,,-13542536476.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,,,,(13.542.536.476),,,,-13542536476.0
