row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),Phải trả người bán ngắn hạn (TM số 17) (tiếp theo),,,,
Vận tải Thaco Chu Lai,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Vận tải Thaco Chu Lai,Vận tải Thaco Chu Lai,Công ty có cùng thành viên HĐQT,Mua dịch vụ,12.883.193,14.561.396,,,12883193.0,14561396.0
Công ty TNHH MTV Sản xuất và Lắp ráp Xe tải Thaco,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Công ty TNHH MTV Sản xuất và Lắp ráp Xe tải Thaco,Công ty TNHH MTV Sản xuất và Lắp ráp Xe tải Thaco,Công ty có cùng thành viên HĐQT,Mua vật tư,3.443.407,-,,,3443407.0,
Công Ty TNHH Phân phối Ô Tô Tài - Bus Trường Hải,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Công Ty TNHH Phân phối Ô Tô Tài - Bus Trường Hải,Công Ty TNHH Phân phối Ô Tô Tài - Bus Trường Hải,Công ty có cùng thành viên HĐQT,Mua dịch vụ,1.994.000,1.994.000,,,1994000.0,1994000.0
Công ty TNHH MTV Cắng Chu Lai Trường Hải,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Công ty TNHH MTV Cắng Chu Lai Trường Hải,Công ty TNHH MTV Cắng Chu Lai Trường Hải,Công ty có cùng thành viên HĐQT,Mua dịch vụ,1.303.322,129.361,,,1303322.0,129361.0
Daun Penh,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,91.845.863,,,,91845863.0
Bình Phước Kratie,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,73.677.590,,,,73677590.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty có cùng thành viên HĐQT,Mua vật tư,-,42.390.542,,,,42390542.0
Máy Nông nghiệp Thaco,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Máy Nông nghiệp Thaco,Máy Nông nghiệp Thaco,Công ty có cùng thành viên HĐQT,Mua máy móc,-,6.080.000,,,,6080000.0
Khác,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > Khác,Khác,Bên liên quan,Mua hàng hóa và dịch vụ,1.023.045,500.457,,,1023045.0,500457.0
TỔNG CỘNG,Phải trả người bán ngắn hạn (TM số 17) (tiếp theo) > TỔNG CỘNG,TỔNG CỘNG,,,659.461.800,521.971.535,,,659461800.0,521971535.0
Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),Người mua trả tiền trước ngắn hạn (TM số 18),,,,
THAGRICO,Người mua trả tiền trước ngắn hạn (TM số 18) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Ứng tiền mua trái cây,224.230.098,18.021.828,,,224230098.0,18021828.0
Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),Chi phí phải trả ngắn hạn (TM số 20),,,,
THAGRICO,Chi phí phải trả ngắn hạn (TM số 20) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Lãi vay,195.589.383,-,,,195589383.0,
Vận chuyển Trường Hải,Chi phí phải trả ngắn hạn (TM số 20) > Vận chuyển Trường Hải,Vận chuyển Trường Hải,Công ty có cùng thành viên HĐQT,Lãi vay,1.694.572,-,,,1694572.0,
Hưng Thắng Lợi Gia Lai,Chi phí phải trả ngắn hạn (TM số 20) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Lãi vay,179.375,-,,,179375.0,
HAG,Chi phí phải trả ngắn hạn (TM số 20) > HAG,HAG,Công ty mẹ,Lãi vay,-,27.191.064,,,,27191064.0
THACO,Chi phí phải trả ngắn hạn (TM số 20) > THACO,THACO,Cổ đông lớn,Lãi vay,-,5.172.794,,,,5172794.0
Khác,Chi phí phải trả ngắn hạn (TM số 20) > Khác,Khác,Cổ đông,Lãi vay,-,958.904,,,,958904.0
TỔNG CỘNG,Chi phí phải trả ngắn hạn (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,,197.463.330,33.322.762,,,197463330.0,33322762.0
