row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
An Đông Mia,Phải thu về cho vay ngắn hạn > An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,Cho vay,154.759.771,-,,,154759771.0,
Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),Phải thu ngắn hạn khác (TM số 8),,,,
HA Lumphat,Phải thu ngắn hạn khác (TM số 8) > HA Lumphat,HA Lumphat,Công ty có cùng thành viên HĐQT,Cho mượn tiền,44.345.918,-,,,44345918.0,
THAGRICO,Phải thu ngắn hạn khác (TM số 8) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Thu hộ,42.019.487,-,,,42019487.0,
Đại Thắng,Phải thu ngắn hạn khác (TM số 8) > Đại Thắng,Đại Thắng,Công ty trong cùng Tập đoàn,Cho mượn tiền,27.178.483,4.601.784,,,27178483.0,4601784.0
HAG,Phải thu ngắn hạn khác (TM số 8) > HAG,HAG,Công ty mẹ,Cho mượn tiền,12.128.682,11.941.830,,,12128682.0,11941830.0
Daun Penh,Phải thu ngắn hạn khác (TM số 8) > Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Cho mượn vật tư,7.821.420,33.038.555,,,7821420.0,33038555.0
Bình Phước Kratie,Phải thu ngắn hạn khác (TM số 8) > Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Cho mượn tiền,5.590.090,6.577.232,,,5590090.0,6577232.0
An Đông Mia,Phải thu ngắn hạn khác (TM số 8) > An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,Cho mượn tiền,2.747.095,-,,,2747095.0,
Khác,Phải thu ngắn hạn khác (TM số 8) > Khác,Khác,Bên liên quan,Cho mượn tiền,-,250.000,,,,250000.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 8) > TỔNG CỘNG,TỔNG CỘNG,,,141.831.175,56.409.401,,,141831175.0,56409401.0
Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,Phải thu khác dài hạn,,,,
An Đông Mia,Phải thu khác dài hạn > An Đông Mia,An Đông Mia,Công ty có cùng thành viên HĐQT,Cho mượn tiền,5.142.322,-,,,5142322.0,
Daun Penh,Phải thu khác dài hạn > Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Cho mượn tiền,-,6.780.054,,,,6780054.0
Bình Phước Kratie,Phải thu khác dài hạn > Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Cho mượn tiền,-,495.203,,,,495203.0
TỔNG CỘNG,Phải thu khác dài hạn > TỔNG CỘNG,TỔNG CỘNG,,,5.142.322,7.275.257,,,5142322.0,7275257.0
Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),Phải trả người bán ngắn hạn (TM số 17),,,,
THAGRICO,Phải trả người bán ngắn hạn (TM số 17) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Mua vật tư và dịch vụ,400.282.633,207.569.778,,,400282633.0,207569778.0
Vận chuyển Trường Hải,Phải trả người bán ngắn hạn (TM số 17) > Vận chuyển Trường Hải,Vận chuyển Trường Hải,Công ty có cùng thành viên HĐQT,Mua dịch vụ,101.795.239,-,,,101795239.0,
HAG,Phải trả người bán ngắn hạn (TM số 17) > HAG,HAG,Công ty mẹ,Mua vật tư và dịch vụ,69.536.424,64.288.041,,,69536424.0,64288041.0
Thaco Chu Lai,Phải trả người bán ngắn hạn (TM số 17) > Thaco Chu Lai,Thaco Chu Lai,Công ty có cùng thành viên HĐQT,Mua hàng hóa,38.514.349,18.934.507,,,38514349.0,18934507.0
Do Holdings,Phải trả người bán ngắn hạn (TM số 17) > Do Holdings,Do Holdings,Công ty có cùng thành viên HĐQT,Mua vật tư,28.686.188,-,,,28686188.0,
