row_label_raw,row_label_full,col_0,Cây trồnglâu năm,"Phương tiệnvận tải, truyền dẫn",Nhà cửa vàvật kiến trúc,Máy móc vàthiết bị,Thiết bịvăn phòng,Tài sản khác,Ngàn VNDTổng cộng,numeric__Cây trồnglâu năm,"numeric__Phương tiệnvận tải, truyền dẫn",numeric__Nhà cửa vàvật kiến trúc,numeric__Máy móc vàthiết bị,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__Ngàn VNDTổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,6.523.164.316,2.032.657.722,1.435.675.054,461.316.005,4.266.429,19.846.323,10.476.925.849,6523164316.0,2032657722.0,1435675054.0,461316005.0,4266429.0,19846323.0,10476925849.0
Đầu tư xây dựng cơ bảnhoàn thành,Nguyên giá > Đầu tư xây dựng cơ bảnhoàn thành,Đầu tư xây dựng cơ bảnhoàn thành,2.190.977.512,220.546.915,231.213.039,7.235.781,-,2.191.827,2.652.165.074,2190977512.0,220546915.0,231213039.0,7235781.0,,2191827.0,2652165074.0
Mua mới,Nguyên giá > Mua mới,Mua mới,-,39.973.935,3.512.390,78.695.452,39.500,1.540.001,123.761.278,,39973935.0,3512390.0,78695452.0,39500.0,1540001.0,123761278.0
Mua công ty con,Nguyên giá > Mua công ty con,Mua công ty con,70.893.526,-,303.705,133.000,-,50.000,71.380.231,70893526.0,,303705.0,133000.0,,50000.0,71380231.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,(521.687.853),(287.098.722),(60.465.126),(50.293.089),-,-,(919.544.790),-521687853.0,-287098722.0,-60465126.0,-50293089.0,,,-919544790.0
Thanh lý trong năm,Nguyên giá > Thanh lý trong năm,Thanh lý trong năm,-,(10.690.527),(249.875),(13.159.304),-,-,(24.099.706),,-10690527.0,-249875.0,-13159304.0,,,-24099706.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(410.206.717),(82.993.976),(76.261.603),(16.917.934),(5.601),(540.787),(586.926.618),-410206717.0,-82993976.0,-76261603.0,-16917934.0,-5601.0,-540787.0,-586926618.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,7.853.140.784,1.912.395.347,1.533.727.584,467.009.911,4.300.328,23.087.364,11.793.661.318,7853140784.0,1912395347.0,1533727584.0,467009911.0,4300328.0,23087364.0,11793661318.0
Trong đó:Đã khấu hao hết,Nguyên giá > Trong đó:Đã khấu hao hết,Trong đó:Đã khấu hao hết,-,97.896.815,20.650.719,47.025.561,356.553,1.408.280,167.337.928,,97896815.0,20650719.0,47025561.0,356553.0,1408280.0,167337928.0
