row_label_raw,row_label_full,Chỉ tiêu,BCTC năm 2020đã kiểm toán,BCTC năm 2019đã kiểm toán,Tăng trưởng/(giảm),numeric__BCTC năm 2020đã kiểm toán,numeric__BCTC năm 2019đã kiểm toán,numeric__Tăng trưởng/(giảm)
Lỗ sau thuế trênBCTC tổng hợp,Lỗ sau thuế trênBCTC tổng hợp,Lỗ sau thuế trênBCTC tổng hợp,(25.718.608),(1.175.619.864),(94)%,-25718608.0,-1175619864.0,-0.94
Lợi nhuận (lỗ) sau thuế trênBCTC hợp nhất,Lợi nhuận (lỗ) sau thuế trênBCTC hợp nhất,Lợi nhuận (lỗ) sau thuế trênBCTC hợp nhất,20.895.796,(2.444.401.329),101%,20895796.0,-2444401329.0,1.01
