row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),Phải thu ngắn hạn của khách hàng (TM số 6),,,,
THAGRICO,Phải thu ngắn hạn của khách hàng (TM số 6) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Chuyển nhượng công ty con Bán hàng hóa,2.350.000.000280.542.963,-,,,2.3500000002805427e+18,
Chăn nuôi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 6) > Chăn nuôi Gia Lai,Chăn nuôi Gia Lai,Công ty trong cùng Tập đoàn,Bán hàng hóa,13.917.518,-,,,13917518.0,
HAG,Phải thu ngắn hạn của khách hàng (TM số 6) > HAG,HAG,Công ty mẹ,Bán hàng hóa và cung cấp dịch vụ,8.965.261,23.171.406,,,8965261.0,23171406.0
Cao su Trung Nguyên,Phải thu ngắn hạn của khách hàng (TM số 6) > Cao su Trung Nguyên,Cao su Trung Nguyên,Công ty có cùng thành viên HĐQT,Bán vật tư,3.917.076,9.435.130,,,3917076.0,9435130.0
Đại Thắng,Phải thu ngắn hạn của khách hàng (TM số 6) > Đại Thắng,Đại Thắng,Công ty trong cùng Tập đoàn,Bán hàng hóa,3.844.195,-,,,3844195.0,
Hưng Thắng Lợi Gia Lai,Phải thu ngắn hạn của khách hàng (TM số 6) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Bán hàng hóa,1.300.000,-,,,1300000.0,
Daun Penh,Phải thu ngắn hạn của khách hàng (TM số 6) > Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Bán vật tư,-,80.108.487,,,,80108487.0
Bình Phước Kratie,Phải thu ngắn hạn của khách hàng (TM số 6) > Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Bán vật tư,-,19.114.510,,,,19114510.0
Cao su Eastern,Phải thu ngắn hạn của khách hàng (TM số 6) > Cao su Eastern,Cao su Eastern,Công ty có cùng thành viên HĐQT,Bán vật tư,-,4.948.622,,,,4948622.0
Khác,Phải thu ngắn hạn của khách hàng (TM số 6) > Khác,Khác,Bên liên quan,Bán hàng hóa,395.649,951.929,,,395649.0,951929.0
TỔNG CỘNG,Phải thu ngắn hạn của khách hàng (TM số 6) > TỔNG CỘNG,TỔNG CỘNG,,,2.662.882.662,137.730.084,,,2662882662.0,137730084.0
