row_label_raw,row_label_full,TỔNG CỘNG,512.454.605,numeric__512.454.605
Trong đó:,Trong đó:,Trong đó:,Trong đó:,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,457.667.938,457667938.0
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,54.786.667,54786667.0
