row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,Ngàn VND_2,numeric__Ngàn VND,numeric__Ngàn VND_1,numeric__Ngàn VND_2
,,,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty,Lợi thế thương mại phát sinh từ nghiệp vụ mua các công ty,,,
,,,An Đông Mia,Bò sữa Tây Nguyên,Tổng cộng,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,565.417.677,72.228.357,637.646.034,565417677.0,72228357.0,637646034.0
Thanh lý công ty,Nguyên giá > Thanh lý công ty,Thanh lý công ty,(565.417.677),-,(565.417.677),-565417677.0,,-565417677.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,-,72.228.357,72.228.357,,72228357.0,72228357.0
Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,Phân bổ lũy kế,,,
Số đầu năm,Phân bổ lũy kế > Số đầu năm,Số đầu năm,(231.553.640),(33.706.568),(265.260.208),-231553640.0,-33706568.0,-265260208.0
Phân bổ trong năm,Phân bổ lũy kế > Phân bổ trong năm,Phân bổ trong năm,(56.541.768),(7.222.836),(63.764.604),-56541768.0,-7222836.0,-63764604.0
Thanh lý công ty,Phân bổ lũy kế > Thanh lý công ty,Thanh lý công ty,288.095.408,-,288.095.408,288095408.0,,288095408.0
Số cuối năm,Phân bổ lũy kế > Số cuối năm,Số cuối năm,-,(40.929.404),(40.929.404),,-40929404.0,-40929404.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,333.864.037,38.521.789,372.385.826,333864037.0,38521789.0,372385826.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,-,31.298.953,31.298.953,,31298953.0,31298953.0
