row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Quyền chọn chuyển đổi trái phiếu,Chênh lệch tỷ giá hối đoái,Lỗ lũy kế,Cổ đông không kiểm soát,Ngàn VND,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Quyền chọn chuyển đổi trái phiếu,numeric__Chênh lệch tỷ giá hối đoái,numeric__Lỗ lũy kế,numeric__Cổ đông không kiểm soát,numeric__Ngàn VND
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,8.868.438.950,1.064.550.810,105.576.190,505.361.803,102.645.162(2.425.918.207),29.309.682(18.483.122),10.675.882.597(2.444.401.329),8868438950.0,1064550810.0,105576190.0,505361803.0,,,
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,102.645.162(2.425.918.207),29.309.682(18.483.122),10.675.882.597(2.444.401.329),,,,,,,
Chuyển đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông,Lỗ thuần trong năm > Chuyển đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông,Chuyển đổi trái phiếu chuyển đổi thành cổ phiếu phổ thông,2.217.100.000,105.576.190,(105.576.190),-,-,-,2.217.100.000,2217100000.0,105576190.0,-105576190.0,,,,2217100000.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mắt quyền kiểm soát,Lỗ thuần trong năm > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mắt quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mắt quyền kiểm soát,-,-,-,-,1.075.096,(790.635),284.461,,,,,1075096.0,-790635.0,284461.0
"Chi thủ lao HĐQT, BKS và Ban thư ký HĐQT","Lỗ thuần trong năm > Chi thủ lao HĐQT, BKS và Ban thư ký HĐQT","Chi thủ lao HĐQT, BKS và Ban thư ký HĐQT",-,-,-,-,(1.561.000),-,(1.561.000),,,,,-1561000.0,,-1561000.0
Thanh lý các công ty con,Lỗ thuần trong năm > Thanh lý các công ty con,Thanh lý các công ty con,-,-,-,(238.480.584),-,(501.389),(238.981.973),,,,-238480584.0,,-501389.0,-238981973.0
Chênh lệch tỷ giá hối đoái,Lỗ thuần trong năm > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(470.370.136),-,-,(470.370.136),,,,-470370136.0,,,-470370136.0
Số cuối năm,Lỗ thuần trong năm > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,-,(203.488.917),(2.323.758.949),9.534.536,9.737.952.620,11085538950.0,1170127000.0,,-203488917.0,-2323758949.0,9534536.0,9737952620.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,11.085.538.950,1.170.127.000,-,(203.488.917),(2.323.758.949),9.534.536,9.737.952.620,11085538950.0,1170127000.0,,-203488917.0,-2323758949.0,9534536.0,9737952620.0
Lợi nhuận sau thuế trong năm,Năm nay > Lợi nhuận sau thuế trong năm,Lợi nhuận sau thuế trong năm,-,-,-,-,20.911.042,(15.246),20.895.796,,,,,20911042.0,-15246.0,20895796.0
Mua lại cổ phần được phát hành bồi công ty con và của cổ đông không kiểm soát (TM số 4),Năm nay > Mua lại cổ phần được phát hành bồi công ty con và của cổ đông không kiểm soát (TM số 4),Mua lại cổ phần được phát hành bồi công ty con và của cổ đông không kiểm soát (TM số 4),-,-,-,-,(2.057.490),(9.269.189),(11.326.679),,,,,-2057490.0,-9269189.0,-11326679.0
"Chi thủ lao HĐQT, BKS và Ban thư ký HĐQT","Năm nay > Chi thủ lao HĐQT, BKS và Ban thư ký HĐQT","Chi thủ lao HĐQT, BKS và Ban thư ký HĐQT",-,-,-,-,(1.200.000),-,(1.200.000),,,,,-1200000.0,,-1200000.0
Thanh lý các công ty con,Năm nay > Thanh lý các công ty con,Thanh lý các công ty con,-,-,-,(51.784.451),-,-,(51.784.451),,,,-51784451.0,,,-51784451.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(1.014.517.659),-,-,(1.014.517.659),,,,-1014517659.0,,,-1014517659.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,11.085.538.950,1.170.127.000,-,(1.269.791.027),(2.306.105.397),250.101,8.680.019.627,11085538950.0,1170127000.0,,-1269791027.0,-2306105397.0,250101.0,8680019627.0
