row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Lảo > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Việt Nam > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Lảo > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Campuchia > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019,numeric__Ngàn VND Tổng cộng > Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2019
Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,1.704.177.416,32.136.212,74.461.402,1.810.775.030,1704177416.0,32136212.0,74461402.0,1810775030.0
Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,238.684.377,798.668.201,520.575.681,1.557.928.259,238684377.0,798668201.0,520575681.0,1557928259.0
Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,Vào ngày 31 tháng 12 năm 2019,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,1.769.014.550,12.808.988.610,8.275.513.383,22.853.516.543,1769014550.0,12808988610.0,8275513383.0,22853516543.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,111.485.200,,,,111485200.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,315.487.353,,,,315487353.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,23.280.489.096,,,,23280489096.0
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020,,,,
Doanh thu từ khách hàng bên ngoài,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Doanh thu từ khách hàng bên ngoài,Doanh thu từ khách hàng bên ngoài,2.316.021.319,45.383.695,13.506.966,2.374.911.980,2316021319.0,45383695.0,13506966.0,2374911980.0
Chi phí hình thành tài sản cố định,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2020 > Chi phí hình thành tài sản cố định,Chi phí hình thành tài sản cố định,68.755.248,620.537.896,914.742.077,1.604.035.221,68755248.0,620537896.0,914742077.0,1604035221.0
Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,Vào ngày 31 tháng 12 năm 2020,,,,
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,
Tài sản bộ phận,Các thông tin bộ phận khác > Tài sản bộ phận,Tài sản bộ phận,1.946.760.447,14.926.773.908,7.448.066.000,24.321.600.355,1946760447.0,14926773908.0,7448066000.0,24321600355.0
Tiền,Các thông tin bộ phận khác > Tiền,Tiền,,,,26.706.409,,,,26706409.0
Đầu tư vào công ty liên kết,Các thông tin bộ phận khác > Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,,,,321.560.075,,,,321560075.0
Tổng tài sản,Các thông tin bộ phận khác > Tổng tài sản,Tổng tài sản,,,,24.669.866.839,,,,24669866839.0
