row_label_raw,row_label_full,col_0,Ngàn VND,Ngàn VND_1,numeric__Ngàn VND,numeric__Ngàn VND_1
,,,Năm nay,Năm trước,,
Thu nhập khác,Thu nhập khác,Thu nhập khác,111.300.769,229.852.274,111300769.0,229852274.0
Nhận hỗ trợ tài chính,Nhận hỗ trợ tài chính,Nhận hỗ trợ tài chính,61.207.461,-,61207461.0,
Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,Lãi từ thanh lý tài sản,718.717,456.492,718717.0,456492.0
Hoàn nhập khoản trích trước,Hoàn nhập khoản trích trước,Hoàn nhập khoản trích trước,-,192.397.024,,192397024.0
Xóa số các khoản phải trả,Xóa số các khoản phải trả,Xóa số các khoản phải trả,-,20.152.510,,20152510.0
Khác,Khác,Khác,49.374.591,16.846.248,49374591.0,16846248.0
Chi phí khác,Chi phí khác,Chi phí khác,167.243.598,1.637.698.902,167243598.0,1637698902.0
Chi phí phát triển vườn cây,Chi phí phát triển vườn cây,Chi phí phát triển vườn cây,50.243.526,1.340.360.552,50243526.0,1340360552.0
Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,Khấu hao tài sản ngưng sử dụng,42.254.224,54.983.799,42254224.0,54983799.0
Các khoản phạt,Các khoản phạt,Các khoản phạt,18.398.181,10.144.168,18398181.0,10144168.0
Khác,Khác,Khác,56.347.667,232.210.383,56347667.0,232210383.0
Lỗ KHÁC,Lỗ KHÁC,Lỗ KHÁC,(55.942.829),(1.407.846.628),-55942829.0,-1407846628.0
