row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Ngàn VND > Năm nay,Ngàn VND > Năm trước,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Ngàn VND > Năm nay,numeric__Ngàn VND > Năm trước
"Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (""Vận tải Thaco Chu Lai"")","Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (""Vận tải Thaco Chu Lai"")","Công ty TNHH MTV Vận tải Đường bộ Chu Lai - Trường Hải (""Vận tải Thaco Chu Lai"")",Công ty có cùng thành viên HĐQT,Mua dịch vụ,11.335.206,24.683.368,,,11335206.0,24683368.0
"Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")","Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")","Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")",Công ty trong cùng Tập đoàn,Mua vật tư,11.409.191,-,,,11409191.0,
"Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")","Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")","Công ty Cổ phần Chăn Nuôi Gia Lai (""Chăn Nuôi Gia Lai"")",Công ty trong cùng Tập đoàn,Bán vật tư,4.305.890,-,,,4305890.0,
Daun Penh,Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Mua hàng hóa,8.477.363,93.716.041,,,8477363.0,93716041.0
Daun Penh,Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Mua TSCĐ,3.023.255,-,,,3023255.0,
Daun Penh,Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Bán vật tư,-,20.813.957,,,,20813957.0
"Công ty TNHH Hưng Thắng Lợi Gia Lai (""Hưng Thắng Lợi Gia Lai"")","Công ty TNHH Hưng Thắng Lợi Gia Lai (""Hưng Thắng Lợi Gia Lai"")","Công ty TNHH Hưng Thắng Lợi Gia Lai (""Hưng Thắng Lợi Gia Lai"")",Công ty trong cùng Tập đoàn,Cung cấp dịch vụ,7.947.500,-,,,7947500.0,
Bình Phước Kratie,Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Mua hàng hóa,6.069.979,76.567.770,,,6069979.0,76567770.0
Bình Phước Kratie,Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Bán vật tư,-,18.874.266,,,,18874266.0
"Công ty TNHH Cao su Eastern (Cambodia) (""Cao su Eastern"")","Công ty TNHH Cao su Eastern (Cambodia) (""Cao su Eastern"")","Công ty TNHH Cao su Eastern (Cambodia) (""Cao su Eastern"")",Công ty có cùng thành viên HĐQT,Mua hàng hóa,-,32.568.454,,,,32568454.0
"Công ty TNHH Cao su Eastern (Cambodia) (""Cao su Eastern"")","Công ty TNHH Cao su Eastern (Cambodia) (""Cao su Eastern"")","Công ty TNHH Cao su Eastern (Cambodia) (""Cao su Eastern"")",Công ty có cùng thành viên HĐQT,Bán vật tư,-,18.363.685,,,,18363685.0
"Công ty TNHH MTV Sản xuất Máy Nông nghiệp Thaco (""Máy Nông nghiệp Thaco"")","Công ty TNHH MTV Sản xuất Máy Nông nghiệp Thaco (""Máy Nông nghiệp Thaco"")","Công ty TNHH MTV Sản xuất Máy Nông nghiệp Thaco (""Máy Nông nghiệp Thaco"")",Công ty có cùng thành viên HĐQT,Mua TSCĐ,-,21.002.527,,,,21002527.0
