row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),Chi phí phải trả dài hạn (TM số 20),,,,
HAG,Chi phí phải trả dài hạn (TM số 20) > HAG,HAG,Công ty mẹ,Lãi vay,9.969.504,154.362.922,,,9969504.0,154362922.0
THACO,Chi phí phải trả dài hạn (TM số 20) > THACO,THACO,Cổ đông lớn,Lãi vay,-,4.633.009,,,,4633009.0
TỔNG CỘNG,Chi phí phải trả dài hạn (TM số 20) > TỔNG CỘNG,TỔNG CỘNG,,,9.969.504,158.995.931,,,9969504.0,158995931.0
Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),Phải trả ngắn hạn khác (TM số 21),,,,
THAGRICO,Phải trả ngắn hạn khác (TM số 21) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Cán trừ công nợ,714.576.687,-,,,714576687.0,
HA Lumphat,Phải trả ngắn hạn khác (TM số 21) > HA Lumphat,HA Lumphat,Công ty có cùng thành viên HĐQT,Mượn tiền,158.217.665,-,,,158217665.0,
HAG,Phải trả ngắn hạn khác (TM số 21) > HAG,HAG,Công ty mẹ,Cán trừ công nợ,24.605.550,123.024.506,,,24605550.0,123024506.0
Hưng Thắng Lợi Gia Lai,Phải trả ngắn hạn khác (TM số 21) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Mượn tiền,14.647.777,-,,,14647777.0,
Daun Penh,Phải trả ngắn hạn khác (TM số 21) > Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Mượn vật tư,11.695.355,58.541.505,,,11695355.0,58541505.0
Bình Phước Kratie,Phải trả ngắn hạn khác (TM số 21) > Bình Phước Kratie,Bình Phước Kratie,Công ty có cùng thành viên HĐQT,Mượn vật tư,2.372.135,-,,,2372135.0,
Khác,Phải trả ngắn hạn khác (TM số 21) > Khác,Khác,Bên liên quan,Khác,-,13.169.326,,,,13169326.0
TỔNG CỘNG,Phải trả ngắn hạn khác (TM số 21) > TỔNG CỘNG,TỔNG CỘNG,,,926.115.169,194.735.337,,,926115169.0,194735337.0
Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),Phải trả dài hạn khác (TM số 21),,,,
HAG,Phải trả dài hạn khác (TM số 21) > HAG,HAG,Công ty mẹ,Mượn tiền,16.655.807,-,,,16655807.0,
Hưng Thắng Lợi Gia Lai,Phải trả dài hạn khác (TM số 21) > Hưng Thắng Lợi Gia Lai,Hưng Thắng Lợi Gia Lai,Công ty trong cùng Tập đoàn,Mượn tiền,-,5.000.000,,,,5000000.0
Daun Penh,Phải trả dài hạn khác (TM số 21) > Daun Penh,Daun Penh,Công ty có cùng thành viên HĐQT,Mượn vật tư,-,20.975.330,,,,20975330.0
TỔNG CỘNG,Phải trả dài hạn khác (TM số 21) > TỔNG CỘNG,TỔNG CỘNG,,,16.655.807,25.975.330,,,16655807.0,25975330.0
Vay ngắn hạn (TM số 22.2),Vay ngắn hạn (TM số 22.2),Vay ngắn hạn (TM số 22.2),Vay ngắn hạn (TM số 22.2),Vay ngắn hạn (TM số 22.2),Vay ngắn hạn (TM số 22.2),Vay ngắn hạn (TM số 22.2),,,,
THAGRICO,Vay ngắn hạn (TM số 22.2) > THAGRICO,THAGRICO,Công ty có cùng thành viên HĐQT,Vay,5.122.729.860,-,,,5122729860.0,
HAG,Vay ngắn hạn (TM số 22.2) > HAG,HAG,Công ty mẹ,Vay,35.485.456,1.878.507.456,,,35485456.0,1878507456.0
THACO,Vay ngắn hạn (TM số 22.2) > THACO,THACO,Cổ đông lớn,Vay,-,897.464.625,,,,897464625.0
Bà Kiều Ngọc Hoa,Vay ngắn hạn (TM số 22.2) > Bà Kiều Ngọc Hoa,Bà Kiều Ngọc Hoa,Bên liên quan,Vay,-,50.000.000,,,,50000000.0
TỔNG CỘNG,Vay ngắn hạn (TM số 22.2) > TỔNG CỘNG,TỔNG CỘNG,,,5.158.215.316,2.825.972.081,,,5158215316.0,2825972081.0
