row_label_raw,row_label_full,Ngân hàng,Số cuối năm > Ngàn VND,Nguyên tệ > Ngàn LAK,Nguyên tệ > USD,Thời hạn thanh toán,Lãi suất %/năm,"Tài sản thế chấp (TM số 5, 9, 10, 11 và 12)",numeric__Số cuối năm > Ngàn VND,numeric__Nguyên tệ > Ngàn LAK,numeric__Nguyên tệ > USD,numeric__Thời hạn thanh toán,numeric__Lãi suất %/năm,"numeric__Tài sản thế chấp (TM số 5, 9, 10, 11 và 12)"
"Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu","Ngân hàng Lào - Việt, Chi nhánh Attapeu",,,,,,
Khoản vay 1 (*),"Ngân hàng Lào - Việt, Chi nhánh Attapeu > Khoản vay 1 (*)",Khoản vay 1 (*),289.337.282,-,13.243.223,Từ ngày 25 tháng 11 năm 2019 đến ngày 25 tháng 8 năm 2022,"10,00","- Trụ sở làm việc của HA Attapeu tại Km 31, Bản Hatxan, Huyện Xaysettha, Tĩnh Attapeu, Lào theo bản đồ đất số 17 001 0008 với diện tích đất 0,3 ha;- Nhà máy chế biến mũ cao su tại Huyện Saysettha, Tĩnh Attapeu, Lào và toàn bộ đàn bò (14.219 con) nhập khẩu thuộc sở hữu của HA Attapeu; và- Đàn bò nhập về thuộc sở hữu của HA Attapeu.",289337282.0,,13243223.0,,10.0,
Khoản vay 2 (**),"Ngân hàng Lào - Việt, Chi nhánh Attapeu > Khoản vay 2 (**)",Khoản vay 2 (**),245.128.190,35.103.000,7.444.000,Từ ngày 25 tháng 3 năm 2021 đến ngày 25 tháng 12 năm 2026,"LAK: 12,75 USD: 10,00","- Quyền sử dụng và khai thác 4.733,01 ha cao su và 3.155,79 ha cọ đầu tại tỉnh Attapeu, Lào thuộc sở hữu của HA Attapeu.",245128190.0,35103000.0,7444000.0,,,
