row_label_raw,row_label_full,"Ngân hàng Thương mạiCổ phần Đầu tư và Phát triển Việt Nam (""BIDV"")",Số cuối năm > 1.231.637.137,Số đầu năm > 1.877.239.318,"Ngàn VNDMục đích vay > Tài trợ dự án cao su, cọ đầuvà bổ sung vốn lưu động",numeric__Số cuối năm > 1.231.637.137,numeric__Số đầu năm > 1.877.239.318,"numeric__Ngàn VNDMục đích vay > Tài trợ dự án cao su, cọ đầuvà bổ sung vốn lưu động"
"Ngân hàng Liên doanh Lào Việt (""Laos - Viet Bank"")","Ngân hàng Liên doanh Lào Việt (""Laos - Viet Bank"")","Ngân hàng Liên doanh Lào Việt (""Laos - Viet Bank"")",763.569.346,822.882.246,"Tài trợ dự án cao su,cọ đầu, nuôi bò",763569346.0,822882246.0,
Sacombank,Sacombank,Sacombank,512.454.605,553.088.603,"Tài trợ dự án cao su, cọ đầuvà bổ sung vốn lưu động",512454605.0,553088603.0,
TPBank,TPBank,TPBank,50.000.000,100.000.000,"Tài trợ dự án cao su,cây ăn trái",50000000.0,100000000.0,
HDBank,HDBank,HDBank,-,952.352.906,"Tài trợ dự án cao su, cọ đầu,cây ăn trái và bổ sungvốn lưu động",,952352906.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.557.661.088,4.305.563.073,,2557661088.0,4305563073.0,
Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,1.926.063.192,3.095.659.565,,1926063192.0,3095659565.0,
Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,Trong đó:Vay dài hạnVay dài hạn đếnhạn trả,631.597.896,1.209.903.508,,631597896.0,1209903508.0,
