row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,10.018.877,6.087.728,10018877.0,6087728.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",7.384.474,3.637.990,7384474.0,3637990.0
Chi phí khác,Chi phí khác,Chi phí khác,2.634.403,2.449.738,2634403.0,2449738.0
Dài hạn,Dài hạn,Dài hạn,123.167.811,126.689.199,123167811.0,126689199.0
Tiền thuê đất,Tiền thuê đất,Tiền thuê đất,56.689.564,58.958.582,56689564.0,58958582.0
Chi phí khai hoang,Chi phí khai hoang,Chi phí khai hoang,41.373.027,46.589.626,41373027.0,46589626.0
"Công cụ, dụng cụ","Công cụ, dụng cụ","Công cụ, dụng cụ",17.830.509,10.376.864,17830509.0,10376864.0
Chi phí thuê văn phòng,Chi phí thuê văn phòng,Chi phí thuê văn phòng,4.982.444,5.102.262,4982444.0,5102262.0
Chi phí khác,Chi phí khác,Chi phí khác,2.292.267,5.661.865,2292267.0,5661865.0
TỔNG CỔNG,TỔNG CỔNG,TỔNG CỔNG,133.186.688,132.776.927,133186688.0,132776927.0
