row_label_raw,row_label_full,Ngân hàng > Khoản vay 3 (*) > Khoản vay 4 (**),Số cuối nămNgàn VND > 169.173.724 > 59.930.150,Nguyên tệUSD > 7.743.231 > 2.743.056,Thời hạn thanh toán > Từ ngày 25 tháng 10 năm 2019 đến ngày25 tháng 10 năm2022 > Từ ngày 25 tháng 5 năm 2019 đến ngày25 tháng 11 năm2020,"Lãi suất%/năm > 10,00","Tài sản thế chấp(TM số 5, 9, 10, 11 và 12) > - Quyền sử dụng 3 lô đất với tổng diện tích1.001,78 ha tại Huyện Laman, Tĩnh Sekong, Lào thuộc sở hữu của HAQM Lào;- Giá trị toàn bộ tài sản trên đất là vườn cây cao su diện tích 420,91 ha tại Huyện Laman, Tĩnh Sekong,Lào thuộc sở hữu củaHAQM Lào. > - Tất cả các dụng cụ xây dựng và vật tư máy móc phục vụ cho dự án xây dựng nhà máy chế biến cọ đầu phát sinh sau khi bổ vốn đầu tư thuộc sở hữu của HA Attapeu.",numeric__Số cuối nămNgàn VND > 169.173.724 > 59.930.150,numeric__Nguyên tệUSD > 7.743.231 > 2.743.056,numeric__Thời hạn thanh toán > Từ ngày 25 tháng 10 năm 2019 đến ngày25 tháng 10 năm2022 > Từ ngày 25 tháng 5 năm 2019 đến ngày25 tháng 11 năm2020,"numeric__Lãi suất%/năm > 10,00","numeric__Tài sản thế chấp(TM số 5, 9, 10, 11 và 12) > - Quyền sử dụng 3 lô đất với tổng diện tích1.001,78 ha tại Huyện Laman, Tĩnh Sekong, Lào thuộc sở hữu của HAQM Lào;- Giá trị toàn bộ tài sản trên đất là vườn cây cao su diện tích 420,91 ha tại Huyện Laman, Tĩnh Sekong,Lào thuộc sở hữu củaHAQM Lào. > - Tất cả các dụng cụ xây dựng và vật tư máy móc phục vụ cho dự án xây dựng nhà máy chế biến cọ đầu phát sinh sau khi bổ vốn đầu tư thuộc sở hữu của HA Attapeu."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,763.569.346,,,,,763569346.0,,,,
Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,Trong đó:Vay dài hạnVay dài hạn đến hạn trả,347.437.656416.131.690,,,,,3.474376564161317e+17,,,,
