row_label_raw,row_label_full,col_0,Vay ngắn hạn,Vay dài hạn,Ngàn VND Tổng cộng,numeric__Vay ngắn hạn,numeric__Vay dài hạn,numeric__Ngàn VND Tổng cộng
Số đầu năm,Số đầu năm,Số đầu năm,4.654.571.099,4.550.026.796,9.204.597.895,4654571099.0,4550026796.0,9204597895.0
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,2.890.045.680,3.770.252.250,6.660.297.930,2890045680.0,3770252250.0,6660297930.0
Tái cấu trúc khoản vay,Tái cấu trúc khoản vay,Tái cấu trúc khoản vay,(1.841.722.000),1.841.722.000,-,-1841722000.0,1841722000.0,
Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,Phân bổ chi phí phát hành trái phiếu,-,2.006.824,2.006.824,,2006824.0,2006824.0
Mua công ty con,Mua công ty con,Mua công ty con,432.520,-,432.520,432520.0,,432520.0
Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,Tiền chi trả nợ gốc vay,(3.542.750.574),(587.172.766),(4.129.923.340),-3542750574.0,-587172766.0,-4129923340.0
Thanh lý công ty con,Thanh lý công ty con,Thanh lý công ty con,(249.718.812),(443.299.914),(693.018.726),-249718812.0,-443299914.0,-693018726.0
Cắn trừ công nợ,Cắn trừ công nợ,Cắn trừ công nợ,1.473.004.713,(1.052.433.375),420.571.338,1473004713.0,-1052433375.0,420571338.0
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,-,(5.160.405),(5.160.405),,-5160405.0,-5160405.0
Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,3.921.136.403,(3.921.136.403),-,3921136403.0,-3921136403.0,
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(7.755.311),(49.505.382),(57.260.693),-7755311.0,-49505382.0,-57260693.0
Số cuối năm,Số cuối năm,Số cuối năm,7.297.243.718,4.105.299.625,11.402.543.343,7297243718.0,4105299625.0,11402543343.0
