row_label_raw,row_label_full,Đại Thắng,Công ty trong cùng Tập đoàn,Tạm ứng mua hàng hóa,5.434.295,5.434.295_1,numeric__Công ty trong cùng Tập đoàn,numeric__Tạm ứng mua hàng hóa,numeric__5.434.295,numeric__5.434.295_1
Chăn nuôi Gia Lai,Chăn nuôi Gia Lai,Chăn nuôi Gia Lai,Công ty trong cùng Tập đoàn,Tạm ứng mua hàng hóa,2.299.803,-,,,2299803.0,
Cao su Trung Nguyên,Cao su Trung Nguyên,Cao su Trung Nguyên,Công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,-,28.257.752,,,,28257752.0
Cao su Eastern,Cao su Eastern,Cao su Eastern,Công ty có cùng thành viên HĐQT,Tạm ứng mua hàng hóa,-,3.351.521,,,,3351521.0
Khác,Khác,Khác,Bên liên quan,Tạm ứng mua hàng hóa,896.863,2.633.842,,,896863.0,2633842.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,8.630.961,39.677.410,,,8630961.0,39677410.0
