row_label_raw,row_label_full,Tổ chức thu xếp phát hành > Công ty Cổ phầnChứng khoánTiên Phong,Trái chủ > Cá nhân,Số cuối năm Ngàn VND > 200.000.000,Thời hạn thanh toán > Ngày 4 tháng 12 năm 2021,"Lãi suất %/năm > 9,50","Mục đích > Thực hiện các chương trình, dự án đầu tư của Công ty","Tài sản thế chấp (TM số 5, 9, 10, 11 và 12) > - Quyền sử dụng đất, tài sản gắn liền với đất hình thành trong tương lai và quyền khai thác vườn trái cây với tổng diện tích 498,28 ha tại Xã la Băng, Huyện Chư Prong, tại Xã la Péch, Huyện la Grai và tại Làng A, Xã Gào, Thành phố Pleiku, Tĩnh Gia Lai, Việt Nam thuộc sở hữu của Bò sữa Tây Nguyên.",numeric__Trái chủ > Cá nhân,numeric__Số cuối năm Ngàn VND > 200.000.000,numeric__Thời hạn thanh toán > Ngày 4 tháng 12 năm 2021,"numeric__Lãi suất %/năm > 9,50","numeric__Mục đích > Thực hiện các chương trình, dự án đầu tư của Công ty","numeric__Tài sản thế chấp (TM số 5, 9, 10, 11 và 12) > - Quyền sử dụng đất, tài sản gắn liền với đất hình thành trong tương lai và quyền khai thác vườn trái cây với tổng diện tích 498,28 ha tại Xã la Băng, Huyện Chư Prong, tại Xã la Péch, Huyện la Grai và tại Làng A, Xã Gào, Thành phố Pleiku, Tĩnh Gia Lai, Việt Nam thuộc sở hữu của Bò sữa Tây Nguyên."
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,,(3.153.581),,,,,,-3153581.0,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,196.846.419,,,,,,196846419.0,,,,
Trong đó:Vay dài hạn trái phiếuđến hạn trả,Trong đó:Vay dài hạn trái phiếuđến hạn trả,Trong đó:Vay dài hạn trái phiếuđến hạn trả,,196.846.419,,,,,,196846419.0,,,,
