row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,2.474.678.545,72.011.651.880,74.486.330.425,2474678545.0,72011651880.0,74486330425.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,3.691.000.684,3.691.000.684,,3691000684.0,3691000684.0
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,2.474.678.545,75.702.652.564,78.177.331.109,2474678545.0,75702652564.0,78177331109.0
Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,Khẩu hao,,,
Số đầu năm,Khẩu hao > Số đầu năm,Số đầu năm,964.025.460,57.469.938.628,58.433.964.088,964025460.0,57469938628.0,58433964088.0
Khẩu hao trong năm,Khẩu hao > Khẩu hao trong năm,Khẩu hao trong năm,32.223.034,2.566.491.915,2.598.714.949,32223034.0,2566491915.0,2598714949.0
- Khẩu hao,Khẩu hao > - Khẩu hao,- Khẩu hao,32.223.034,2.566.491.915,2.598.714.949,32223034.0,2566491915.0,2598714949.0
- Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,- Sử dụng Quỹ KH&CN,-,-,-,,,
Giảm trong năm,Giảm trong năm,Giảm trong năm,-,-,-,,,
Số cuối năm,Giảm trong năm > Số cuối năm,Số cuối năm,996.248.494,60.036.430.543,61.032.679.037,996248494.0,60036430543.0,61032679037.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,1.510.653.085,14.541.713.252,16.052.366.337,1510653085.0,14541713252.0,16052366337.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,1.478.430.051,15.666.222.021,17.144.652.072,1478430051.0,15666222021.0,17144652072.0
