row_label_raw,row_label_full,31/12/2024,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,538.409.906.246,-,538.409.906.246,538409906246.0,,538409906246.0
Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,7.299.000.000.000,-,7.299.000.000.000,7299000000000.0,,7299000000000.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,340.559.149.690,-,340.559.149.690,340559149690.0,,340559149690.0
Phải thu khác,Phải thu khác,Phải thu khác,49.099.238.006,434.783.710,49.534.021.716,49099238006.0,434783710.0,49534021716.0
Cộng,Cộng,Cộng,8.227.068.293.942,434.783.710,8.227.503.077.652,8227068293942.0,434783710.0,8227503077652.0
01/01/2024,01/01/2024,01/01/2024,Không quá 1 năm,Trên 1 năm,Tổng,,,
Tiền và các khoản tương đương tiền,01/01/2024 > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,288.969.487.361,-,288.969.487.361,288969487361.0,,288969487361.0
Đầu tư nắm giữ đến ngày đáo hạn,01/01/2024 > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,6.165.000.000.000,-,6.165.000.000.000,6165000000000.0,,6165000000000.0
Phải thu khách hàng,01/01/2024 > Phải thu khách hàng,Phải thu khách hàng,244.286.430.968,-,244.286.430.968,244286430968.0,,244286430968.0
Phải thu khác,01/01/2024 > Phải thu khác,Phải thu khác,50.194.617.621,786.569.947,50.981.187.568,50194617621.0,786569947.0,50981187568.0
Cộng,01/01/2024 > Cộng,Cộng,6.748.450.535.950,786.569.947,6.749.237.105.897,6748450535950.0,786569947.0,6749237105897.0
