row_label_raw,row_label_full,Báo cáo bộ phận theo hoạt động kinh doanh,Sản phẩm đường,Sản phẩm đường_1,Sản phẩm Sữa đậu nành,Sản phẩm Sữa đậu nành_1,Khác,Khác_1,Tổng cộng,Tổng cộng_1,numeric__Sản phẩm đường,numeric__Sản phẩm đường_1,numeric__Sản phẩm Sữa đậu nành,numeric__Sản phẩm Sữa đậu nành_1,numeric__Khác,numeric__Khác_1,numeric__Tổng cộng,numeric__Tổng cộng_1
Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,Năm 2024,Năm 2023,,,,,,,,
Doanh thu bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu bộ phận,Doanh thu bộ phận,3.939.439.526.736,4.036.798.413.675,4.173.521.197.927,4.002.769.608.392,1.841.052.092.101,1.707.841.382.931,9.954.012.816.764,9.747.409.404.998,3939439526736.0,4036798413675.0,4173521197927.0,4002769608392.0,1841052092101.0,1707841382931.0,9954012816764.0,9747409404998.0
Giá vốn bộ phận,Báo cáo bộ phận theo hoạt động kinh doanh > Giá vốn bộ phận,Giá vốn bộ phận,2.649.501.089.986,2.780.400.608.753,2.535.983.890.839,2.359.956.789.086,1.314.675.193.139,1.283.204.045.788,6.500.160.173.964,6.423.561.443.627,2649501089986.0,2780400608753.0,2535983890839.0,2359956789086.0,1314675193139.0,1283204045788.0,6500160173964.0,6423561443627.0
Lợi nhuận gộp,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận gộp,Lợi nhuận gộp,1.289.938.436.750,1.256.397.804.922,1.637.537.307.088,1.642.812.819.306,526.376.898.962,424.637.337.143,3.453.852.642.800,3.323.847.961.371,1289938436750.0,1256397804922.0,1637537307088.0,1642812819306.0,526376898962.0,424637337143.0,3453852642800.0,3323847961371.0
Doanh thu hoạt động tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Doanh thu hoạt động tài chính,Doanh thu hoạt động tài chính,,,,,,,457.220.214.212,507.722.088.414,,,,,,,457220214212.0,507722088414.0
Chi phí tài chính,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí tài chính,Chi phí tài chính,,,,,,,95.928.285.041,138.891.494.695,,,,,,,95928285041.0,138891494695.0
Chi phí bán hàng,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí bán hàng,Chi phí bán hàng,,,,,,,834.984.949.102,781.780.887.375,,,,,,,834984949102.0,781780887375.0
Chi phí quản lý doanh nghiệp,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,,,,,,238.160.634.325,389.200.950.492,,,,,,,238160634325.0,389200950492.0
Lợi nhuận thuần từ hoạt động kinh doanh,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận thuần từ hoạt động kinh doanh,Lợi nhuận thuần từ hoạt động kinh doanh,,,,,,,2.741.998.988.544,2.521.696.717.223,,,,,,,2741998988544.0,2521696717223.0
Thu nhập khác,Báo cáo bộ phận theo hoạt động kinh doanh > Thu nhập khác,Thu nhập khác,,,,,,,99.603.786.171,94.177.616.936,,,,,,,99603786171.0,94177616936.0
Chi phí khác,Báo cáo bộ phận theo hoạt động kinh doanh > Chi phí khác,Chi phí khác,,,,,,,1.570.300.489,3.053.207.308,,,,,,,1570300489.0,3053207308.0
Lợi nhuận khác,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận khác,Lợi nhuận khác,,,,,,,98.033.485.682,91.124.409.628,,,,,,,98033485682.0,91124409628.0
Lợi nhuận trước thuế,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận trước thuế,Lợi nhuận trước thuế,,,,,,,2.840.032.474.226,2.612.821.126.851,,,,,,,2840032474226.0,2612821126851.0
Thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Thuế TNDN,Thuế TNDN,,,,,,,268.440.046.653,263.147.356.576,,,,,,,268440046653.0,263147356576.0
Lợi nhuận sau thuế TNDN,Báo cáo bộ phận theo hoạt động kinh doanh > Lợi nhuận sau thuế TNDN,Lợi nhuận sau thuế TNDN,,,,,,,2.571.592.427.573,2.349.673.770.275,,,,,,,2571592427573.0,2349673770275.0
