row_label_raw,row_label_full,31/12/2024,Tài sân cúa bó phàn > Nguyên giá TSCD HH,Tài sân cúa bó phàn > Hao mòn luy ké,Tài sân cúa bó phàn > Noy phái thu,Tài sân cúa bó phàn > Tõng tài sân,Tài sân cúa bó phàn > Noy phái tră,Khái hao TSCD Nám 2024,numeric__Tài sân cúa bó phàn > Nguyên giá TSCD HH,numeric__Tài sân cúa bó phàn > Hao mòn luy ké,numeric__Tài sân cúa bó phàn > Noy phái thu,numeric__Tài sân cúa bó phàn > Tõng tài sân,numeric__Tài sân cúa bó phàn > Noy phái tră,numeric__Khái hao TSCD Nám 2024
Hoàt dōng SXKD sân phám Duong,Hoàt dōng SXKD sân phám Duong,Hoàt dōng SXKD sân phám Duong,3.749.666.262.043,(2.069.378.933.645),509.235.437.513,2.770.647.594.645,131.114.453.822,223.699.855.355,3749666262043.0,-2069378933645.0,509235437513.0,2770647594645.0,131114453822.0,223699855355.0
Hoàt dōng SXKD sân phám Sūa dāu nanh,Hoàt dōng SXKD sân phám Sūa dāu nanh,Hoàt dōng SXKD sân phám Sūa dāu nanh,2.283.812.166.440,(1.899.520.184.124),96.784.258.137,1.043.694.827.231,194.639.908.731,80.964.540.180,2283812166440.0,-1899520184124.0,96784258137.0,1043694827231.0,194639908731.0,80964540180.0
Hàt dōng SXKD khác,Hàt dōng SXKD khác,Hàt dōng SXKD khác,3.344.546.804.978,(1.974.802.685.470),204.608.643.369,10.792.588.195.812,3.667.300.111.099,133.583.867.592,3344546804978.0,-1974802685470.0,204608643369.0,10792588195812.0,3667300111099.0,133583867592.0
Tõng cóng,Tõng cóng,Tõng cóng,9.378.025.233.461,(5.943.701.803.239),810.628.339.019,14.606.930.617.688,3.993.054.473.652,438.248.263.127,9378025233461.0,-5943701803239.0,810628339019.0,14606930617688.0,3993054473652.0,438248263127.0
,,,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Tài sân cúa bó phàn,Khái hao TSCD Nám 2023,,,,,,
01/01/2024,01/01/2024,01/01/2024,Nguyên giá TSCD HH,Hao mòn luy ké,Noy phái thu,Tõng tài sân,Noy phái tră,Khái hao TSCD Nám 2023,,,,,,
Hoàt dōng SXKD sân phám Duong,01/01/2024 > Hoàt dōng SXKD sân phám Duong,Hoàt dōng SXKD sân phám Duong,3.714.930.538.073,(1.885.360.525.937),409.514.989.748,2.504.949.114.986,165.543.576.530,219.267.312.886,3714930538073.0,-1885360525937.0,409514989748.0,2504949114986.0,165543576530.0,219267312886.0
Hoàt dōng SXKD sân phám Sūa dāu nanh,01/01/2024 > Hoàt dōng SXKD sân phám Sūa dāu nanh,Hoàt dōng SXKD sân phám Sūa dāu nanh,2.163.783.924.889,(1.822.349.155.176),96.922.592.379,989.005.768.060,168.360.214.580,80.260.339.896,2163783924889.0,-1822349155176.0,96922592379.0,989005768060.0,168360214580.0,80260339896.0
Hàt dōng SXKD khác,01/01/2024 > Hàt dōng SXKD khác,Hàt dōng SXKD khác,3.322.869.305.262,(1.843.802.515.578),155.254.463.009,9.356.671.796.233,3.296.565.039.598,140.435.399.473,3322869305262.0,-1843802515578.0,155254463009.0,9356671796233.0,3296565039598.0,140435399473.0
Tõng cóng,01/01/2024 > Tõng cóng,Tõng cóng,9.201.583.768.224,(5.551.512.196.691),661.692.045.136,12.850.626.679.279,3.630.468.830.708,439.963.052.255,9201583768224.0,-5551512196691.0,661692045136.0,12850626679279.0,3630468830708.0,439963052255.0
