row_label_raw,row_label_full,31/12/2024,Không quá 1 năm,Trên 1 năm,Tổng,numeric__Không quá 1 năm,numeric__Trên 1 năm,numeric__Tổng
Phải trả người bán,Phải trả người bán,Phải trả người bán,464.095.068.931,-,464.095.068.931,464095068931.0,,464095068931.0
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,4.821.918.376,-,4.821.918.376,4821918376.0,,4821918376.0
Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.713.580.820.203,-,2.713.580.820.203,2713580820203.0,,2713580820203.0
Phải trả khác,Phải trả khác,Phải trả khác,252.570.843.557,-,252.570.843.557,252570843557.0,,252570843557.0
Cộng,Cộng,Cộng,3.435.068.651.067,-,3.435.068.651.067,3435068651067.0,,3435068651067.0
01/01/2024,01/01/2024,01/01/2024,Không quá 1 năm,Trên 1 năm,Tổng,,,
Phải trả người bán,01/01/2024 > Phải trả người bán,Phải trả người bán,456.049.704.294,-,456.049.704.294,456049704294.0,,456049704294.0
Chỉ phí phải trả,01/01/2024 > Chỉ phí phải trả,Chỉ phí phải trả,3.339.377.086,-,3.339.377.086,3339377086.0,,3339377086.0
Vay và nợ thuê tài chính,01/01/2024 > Vay và nợ thuê tài chính,Vay và nợ thuê tài chính,2.411.316.232.933,-,2.411.316.232.933,2411316232933.0,,2411316232933.0
Phải trả khác,01/01/2024 > Phải trả khác,Phải trả khác,215.705.674.621,-,215.705.674.621,215705674621.0,,215705674621.0
Cộng,01/01/2024 > Cộng,Cộng,3.086.410.988.934,-,3.086.410.988.934,3086410988934.0,,3086410988934.0
