row_label_raw,row_label_full,Ngang hang Thuong mai Cõ phân Phuong Dong,Ngang hang Thuong mai Cõ phân Phuong Dong_1,Ngang hang Thuong mai Cõ phân Phuong Dong_2,Ngang hang Thuong mai Cõ phân Phuong Dong_3,Ngang hang Thuong mai Cõ phân Phuong Dong_4,Ngang hang Thuong mai Cõ phân Phuong Dong_5,Ngang hang Thuong mai Cõ phân Phuong Dong_6,Ngang hang Thuong mai Cõ phân Phuong Dong_7,Ngang hang Thuong mai Cõ phân Phuong Dong_8,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_1,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_2,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_3,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_4,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_5,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_6,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_7,numeric__Ngang hang Thuong mai Cõ phân Phuong Dong_8
"Góp vón, dàu tu dài hàn - gôp","Tài sân > Góp vón, dàu tu dài hàn - gôp","Góp vón, dàu tu dài hàn - gôp",-,-,-,-,-,-,49.540.000.000,49.540.000.000,,,,,,,49540000000.0,49540000000.0
Tài sân có dinh,Tài sân > Tài sân có dinh,Tài sân có dinh,-,-,-,-,-,-,529.287.598.940,529.287.598.940,,,,,,,529287598940.0,529287598940.0
Tài sân có khác - gôp,Tài sân > Tài sân có khác - gôp,Tài sân có khác - gôp,4.800.000.000,-,104.535.061.421,242.337.398.718,444.217.067.552,2.887.768.080.627,195.663.221.547,3.879.320.829.865,4800000000.0,,104535061421.0,242337398718.0,444217067552.0,2887768080627.0,195663221547.0,3879320829865.0
Tùng tải sân (1),Tài sân > Tùng tải sân (1),Tùng tải sân (1),1.293.127.187.511,865.159.943.794,17.076.635.457.211,7.692.418.253.323,13.850.213.984.744,33.533.490.108.016,26.371.586.229.099,100.682.631.163.698,1293127187511.0,865159943794.0,17076635457211.0,7692418253323.0,13850213984744.0,33533490108016.0,26371586229099.0,100682631163698.0
Nç phái trã,Nç phái trã,Nç phái trã,,,,,,,,,,,,,,,,
Các khoản nç NHNNVN,Nç phái trã > Các khoản nç NHNNVN,Các khoản nç NHNNVN,-,-,1.232.652.713.665,18.255.045.975,218.462.084.535,-,-,1.469.369.844.175,,,1232652713665.0,18255045975.0,218462084535.0,,,1469369844175.0
Tiếng gùi và vay céc tõ chúctin dung khác,Nç phái trã > Tiếng gùi và vay céc tõ chúctin dung khác,Tiếng gùi và vay céc tõ chúctin dung khác,-,-,14.646.389.104.490,1.830.301.328.076,82.429.549.380,195.439.995.400,1.419.998.796,16.755.979.976.142,,,14646389104490.0,1830301328076.0,82429549380.0,195439995400.0,1419998796.0,16755979976142.0
Tiếng gùi cua khach hàng,Nç phái trã > Tiếng gùi cua khach hàng,Tiếng gùi cua khach hàng,-,-,25.999.898.987.829,10.598.911.069.039,22.026.630.204.808,1.821.605.872.906,691.980.000,60.447.738.114.582,,,25999898987829.0,10598911069039.0,22026630204808.0,1821605872906.0,691980000.0,60447738114582.0
"Vón tải tço, uy thac dàu tu,cho vay TCTD chiu rui ro","Nç phái trã > Vón tải tço, uy thac dàu tu,cho vay TCTD chiu rui ro","Vón tải tço, uy thac dàu tu,cho vay TCTD chiu rui ro",-,-,370.880.000.000,251.142.150.000,929.645.090.000,883.216.289.507,119.203.153.704,2.554.086.683.211,,,370880000000.0,251142150000.0,929645090000.0,883216289507.0,119203153704.0,2554086683211.0
Phát hành giay to có giá,Nç phái trã > Phát hành giay to có giá,Phát hành giay to có giá,-,-,46.391.640.000,152.786.221.145,2.844.302.521.974,5.112.920.515.601,-,8.156.400.898.720,,,46391640000.0,152786221145.0,2844302521974.0,5112920515601.0,,8156400898720.0
Các khoản nç khác,Nç phái trã > Các khoản nç khác,Các khoản nç khác,-,-,328.276.536.076,294.497.006.052,993.124.683.347,251.375.177.522,114.010.430,1.867.387.413.427,,,328276536076.0,294497006052.0,993124683347.0,251375177522.0,114010430.0,1867387413427.0
Tùng nç phái trã (2),Nç phái trã > Tùng nç phái trã (2),Tùng nç phái trã (2),-,-,42.624.488.982.060,13.145.892.820.287,27.094.594.134.044,8.264.557.850.936,121.429.142.930,91.250.962.930.257,,,42624488982060.0,13145892820287.0,27094594134044.0,8264557850936.0,121429142930.0,91250962930257.0
Múc chênh thanh khoản ròng[(3)=(1)-(2)],Nç phái trã > Múc chênh thanh khoản ròng[(3)=(1)-(2)],Múc chênh thanh khoản ròng[(3)=(1)-(2)],1.293.127.187.511,865.159.943.794,(25.547.853.524.849),(5.453.474.566.964),(13.244.380.149.300),25.268.932.257.080,26.250.157.086.169,9.431.668.233.441,1293127187511.0,865159943794.0,-25547853524849.0,-5453474566964.0,-13244380149300.0,25268932257080.0,26250157086169.0,9431668233441.0
