row_label_raw,row_label_full,col_0,Tiền gửi và cho vay TCTD khác – gộp VND,Cho vay khách hàng – gộp VND,Chứng khoán kinh doanh và chứng khoán đầu tư – gộp VND,Tiền gửi và vay từ TCTD khác VND,Tiền gửi của khách hàng VND,Phát hành giấy tờ có giá VND,Các cam kết tín dụng VND,Công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng) VND,numeric__Tiền gửi và cho vay TCTD khác – gộp VND,numeric__Cho vay khách hàng – gộp VND,numeric__Chứng khoán kinh doanh và chứng khoán đầu tư – gộp VND,numeric__Tiền gửi và vay từ TCTD khác VND,numeric__Tiền gửi của khách hàng VND,numeric__Phát hành giấy tờ có giá VND,numeric__Các cam kết tín dụng VND,numeric__Công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng) VND
Trong nước,Trong nước,Trong nước,11.367.660.484.671,56.307.378.471.888,24.444.023.730.519,16.620.408.805.683,60.098.313.163.115,8.156.400.898.720,8.087.381.850.900,14.083.646.526.221,11367660484671.0,56307378471888.0,24444023730519.0,16620408805683.0,60098313163115.0,8156400898720.0,8087381850900.0,14083646526221.0
Nước ngoài,Nước ngoài,Nước ngoài,2.078.810.019.244,8.973.042.050,-,135.571.170.459,349.424.951.467,-,-,-,2078810019244.0,8973042050.0,,135571170459.0,349424951467.0,,,
,,,13.446.470.503.915,56.316.351.513.938,24.444.023.730.519,16.755.979.976.142,60.447.738.114.582,8.156.400.898.720,8.087.381.850.900,14.083.646.526.221,13446470503915.0,56316351513938.0,24444023730519.0,16755979976142.0,60447738114582.0,8156400898720.0,8087381850900.0,14083646526221.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,,,,,,,,
,,,Tiền gửi và cho vay TCTD khác – gộp VND,Cho vay khách hàng – gộp VND,Chứng khoán kinh doanh và chứng khoán đầu tư – gộp VND,Tiền gửi và vay từ TCTD khác VND,Tiền gửi của khách hàng VND,Phát hành giấy tờ có giá VND,Các cam kết tín dụng VND,Công cụ tài chính phải sinh (Tổng giá trị giao dịch theo hợp đồng) VND,,,,,,,,
Trong nước,Tại ngày 31 tháng 12 năm 2017 > Trong nước,Trong nước,9.991.191.782.873,48.175.997.541.160,20.109.374.921.995,16.303.630.227.401,53.031.027.476.447,4.361.689.265.933,7.340.579.131.394,18.043.305.991.814,9991191782873.0,48175997541160.0,20109374921995.0,16303630227401.0,53031027476447.0,4361689265933.0,7340579131394.0,18043305991814.0
Nước ngoài,Tại ngày 31 tháng 12 năm 2017 > Nước ngoài,Nước ngoài,389.942.702.382,6.979.142.665,-,-,234.767.635.759,-,-,-,389942702382.0,6979142665.0,,,234767635759.0,,,
,,,10.381.134.485.255,48.182.976.683.825,20.109.374.921.995,16.303.630.227.401,53.265.795.112.206,4.361.689.265.933,7.340.579.131.394,18.043.305.991.814,10381134485255.0,48182976683825.0,20109374921995.0,16303630227401.0,53265795112206.0,4361689265933.0,7340579131394.0,18043305991814.0
