row_label_raw,row_label_full,col_0,Khu vựcMiền BắcVND,Khu vựcMiền TrungVND,Khu vựcMiền NamVND,Loại trừVND,TổngVND,numeric__Khu vựcMiền BắcVND,numeric__Khu vựcMiền TrungVND,numeric__Khu vựcMiền NamVND,numeric__Loại trừVND,numeric__TổngVND
III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,III. Doanh thu,,,,,
1. Doanh thu lãi,III. Doanh thu > 1. Doanh thu lãi,1. Doanh thu lãi,1.162.530.995.637,1.187.500.215.704,9.764.197.684.937,(6.501.520.869.002),5.612.708.027.276,1162530995637.0,1187500215704.0,9764197684937.0,-6501520869002.0,5612708027276.0
Doanh thu lãi từ khách hàng bên ngoài,III. Doanh thu > Doanh thu lãi từ khách hàng bên ngoài,Doanh thu lãi từ khách hàng bên ngoài,754.849.370.744,861.484.520.766,3.996.374.135.766,-,5.612.708.027.276,754849370744.0,861484520766.0,3996374135766.0,,5612708027276.0
Doanh thu lãi nội bộ,III. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,407.681.624.893,326.015.694.938,5.767.823.549.171,(6.501.520.869.002),-,407681624893.0,326015694938.0,5767823549171.0,-6501520869002.0,
2. Doanh thu từ hoạt động dịch vụ,III. Doanh thu > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,18.886.922.880,24.871.094.409,189.131.662.133,-,232.889.679.422,18886922880.0,24871094409.0,189131662133.0,,232889679422.0
3. Doanh thu từ hoạt động kinh doanh khác,III. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,12.196.365.134,11.416.807.313,581.194.477.789,(17.973.779.246),586.833.870.990,12196365134.0,11416807313.0,581194477789.0,-17973779246.0,586833870990.0
IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,IV. Chi phí,,,,,
1. Chi phí lãi,IV. Chi phí > 1. Chi phí lãi,1. Chi phí lãi,(873.998.935.075),(895.048.143.075),(7.944.076.437.021),6.501.520.869.002,(3.211.602.646.169),-873998935075.0,-895048143075.0,-7944076437021.0,6501520869002.0,-3211602646169.0
Chi phí lãi cho khách hàng bên ngoài,IV. Chi phí > Chi phí lãi cho khách hàng bên ngoài,Chi phí lãi cho khách hàng bên ngoài,(315.836.891.740),(265.025.400.832),(2.630.740.353.597),-,(3.211.602.646.169),-315836891740.0,-265025400832.0,-2630740353597.0,,-3211602646169.0
Chi phí lãi nội bộ,IV. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(558.162.043.335),(630.022.742.243),(5.313.336.083.424),6.501.520.869.002,-,-558162043335.0,-630022742243.0,-5313336083424.0,6501520869002.0,
2. Chi phí khấu hao tài sản cố định,IV. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(1.616.887.524),(3.437.003.297),(43.289.679.348),-,(48.343.570.169),-1616887524.0,-3437003297.0,-43289679348.0,,-48343570169.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,IV. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(140.266.503.620),(135.761.252.930),(1.639.915.903.819),17.973.779.246,(1.897.969.881.123),-140266503620.0,-135761252930.0,-1639915903819.0,17973779246.0,-1897969881123.0
Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,IV. Chi phí > Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,177.731.957.432,189.541.718.124,907.241.804.671,-,1.274.515.480.227,177731957432.0,189541718124.0,907241804671.0,,1274515480227.0
Chi phí dự phòng rủi ro,IV. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(16.177.154.520),(18.637.230.868),(221.209.377.762),-,(256.023.763.150),-16177154520.0,-18637230868.0,-221209377762.0,,-256023763150.0
Kết quả kinh doanh bộ phận trước thuế TNDN,IV. Chi phí > Kết quả kinh doanh bộ phận trước thuế TNDN,Kết quả kinh doanh bộ phận trước thuế TNDN,161.554.802.912,170.904.487.256,686.032.426.909,-,1.018.491.717.077,161554802912.0,170904487256.0,686032426909.0,,1018491717077.0
