row_label_raw,row_label_full,2018,Số dưđầu nămVND,Phát sinh trong năm > Số phải nộpVND,Phát sinh trong năm > Số đã nộpVND,Số ducuôi nămVND,numeric__Số dưđầu nămVND,numeric__Phát sinh trong năm > Số phải nộpVND,numeric__Phát sinh trong năm > Số đã nộpVND,numeric__Số ducuôi nămVND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,45.825.075.988,440.426.910.221,(431.397.075.948),54.854.910.261,45825075988.0,440426910221.0,-431397075948.0,54854910261.0
Thuế giá trị gia tăng,Thuế giá trị gia tăng,Thuế giá trị gia tăng,2.697.273.330,27.738.035.626,(24.355.338.895),6.079.970.061,2697273330.0,27738035626.0,-24355338895.0,6079970061.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,6.401.655.779,65.453.140.267,(65.799.678.142),6.055.117.904,6401655779.0,65453140267.0,-65799678142.0,6055117904.0
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,228.463.655,4.188.876.713,(3.561.428.271),855.912.097,228463655.0,4188876713.0,-3561428271.0,855912097.0
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,469.970.586,(469.970.586),-,,469970586.0,-469970586.0,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,125.500.000,(125.500.000),-,,125500000.0,-125500000.0,
,,,55.152.468.752,538.402.433.413,(525.708.991.842),67.845.910.323,55152468752.0,538402433413.0,-525708991842.0,67845910323.0
2017,2017,2017,Số dưđầu nămVND,Phát sinh trong năm,Phát sinh trong năm,Số ducuôi nămVND,,,,
2017,2017,2017,Số dưđầu nămVND,Số phải nộpVND,Số đã nộpVND,Số ducuôi nămVND,,,,
Thuế thu nhập doanh nghiệp,2017 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,26.092.820.524,204.381.067.054,(184.648.811.590),45.825.075.988,26092820524.0,204381067054.0,-184648811590.0,45825075988.0
Thuế giá trị gia tăng,2017 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,1.738.164.675,13.721.541.941,(12.762.433.286),2.697.273.330,1738164675.0,13721541941.0,-12762433286.0,2697273330.0
Thuế thu nhập cá nhân,2017 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,2.079.572.185,38.500.028.552,(34.177.944.958),6.401.655.779,2079572185.0,38500028552.0,-34177944958.0,6401655779.0
Thuế nhà thầu,2017 > Thuế nhà thầu,Thuế nhà thầu,46.853.642,2.165.035.578,(1.983.425.565),228.463.655,46853642.0,2165035578.0,-1983425565.0,228463655.0
Thuế nhà đất,2017 > Thuế nhà đất,Thuế nhà đất,-,142.420.923,(142.420.923),-,,142420923.0,-142420923.0,
Các loại thuế khác,2017 > Các loại thuế khác,Các loại thuế khác,-,118.500.000,(118.500.000),-,,118500000.0,-118500000.0,
,,,29.957.411.026,259.028.594.048,(233.833.536.322),55.152.468.752,29957411026.0,259028594048.0,-233833536322.0,55152468752.0
