row_label_raw,row_label_full,col_0,Tại ngày 31/12/2017 > Khu vực Miền Bắc VND,Tại ngày 31/12/2017 > Khu vực Miền Trung VND,Tại ngày 31/12/2017 > Khu vực Miền Nam VND,Tại ngày 31/12/2017 > Tổng VND,numeric__Tại ngày 31/12/2017 > Khu vực Miền Bắc VND,numeric__Tại ngày 31/12/2017 > Khu vực Miền Trung VND,numeric__Tại ngày 31/12/2017 > Khu vực Miền Nam VND,numeric__Tại ngày 31/12/2017 > Tổng VND
Tải sản,Tải sản,Tải sản,9.192.240.656.244,9.038.415.582.048,66.122.246.314.582,84.352.902.552.874,9192240656244.0,9038415582048.0,66122246314582.0,84352902552874.0
"Tiền mặt, vàng","Tiền mặt, vàng","Tiền mặt, vàng",75.974.853.656,75.932.276.930,496.946.074.390,648.853.204.976,75974853656.0,75932276930.0,496946074390.0,648853204976.0
Tải sản cố định,Tải sản cố định,Tải sản cố định,5.478.316.415,86.356.385.378,435.171.223.023,527.005.924.816,5478316415.0,86356385378.0,435171223023.0,527005924816.0
Tải sản khác,Tải sản khác,Tải sản khác,9.110.787.486.173,8.876.126.919.740,65.190.129.017.169,83.177.043.423.082,9110787486173.0,8876126919740.0,65190129017169.0,83177043423082.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,(9.030.685.853.332),(8.867.511.094.792),(60.317.964.786.696),(78.216.161.734.820),-9030685853332.0,-8867511094792.0,-60317964786696.0,-78216161734820.0
Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,Nợ phải trả khách hàng bên ngoài,(9.030.685.853.332),(8.867.511.094.792),(60.201.268.895.961),(78.099.465.844.085),-9030685853332.0,-8867511094792.0,-60201268895961.0,-78099465844085.0
Nợ phải trả nội bộ,Nợ phải trả nội bộ,Nợ phải trả nội bộ,-,-,(113.924.648.176),(113.924.648.176),,,-113924648176.0,-113924648176.0
Nợ phải trả khác,Nợ phải trả khác,Nợ phải trả khác,-,-,(2.771.242.559),(2.771.242.559),,,-2771242559.0,-2771242559.0
