row_label_raw,row_label_full,col_0,Vốn điều lệ VND,Thặng dư vốn cổ phần VND,Cổ phiếu quỹ VND,Các quỹ VND,Lợi nhuận chưa phân phối VND,Tổng VND,numeric__Vốn điều lệ VND,numeric__Thặng dư vốn cổ phần VND,numeric__Cổ phiếu quỹ VND,numeric__Các quỹ VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,4.000.000.000.000,98.800.000.000,(90.250.000.000),302.019.790.303,405.108.160.471,4.715.677.950.774,4000000000000.0,98800000000.0,-90250000000.0,302019790303.0,405108160471.0,4715677950774.0
Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,805.120.500.000,-,-,-,-,805.120.500.000,805120500000.0,,,,,805120500000.0
Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,194.879.500.000,-,-,-,(194.879.500.000),-,194879500000.0,,,,-194879500000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,814.110.650.023,814.110.650.023,,,,,814110650023.0,814110650023.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,122.116.597.503,(122.116.597.503),-,,,,122116597503.0,-122116597503.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(3.288.782.743),(3.288.782.743),,,,,-3288782743.0,-3288782743.0
Cổ tức,Cổ tức,Cổ tức,-,-,-,-,(194.879.500.000),(194.879.500.000),,,,,-194879500000.0,-194879500000.0
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,5.000.000.000.000,98.800.000.000,(90.250.000.000),424.136.387.806,704.054.430.248,6.136.740.818.054,5000000000000.0,98800000000.0,-90250000000.0,424136387806.0,704054430248.0,6136740818054.0
Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,Tăng vốn trong năm từ phát hành cổ phiếu bằng tiền,903.752.850.000,-,-,-,-,903.752.850.000,903752850000.0,,,,,903752850000.0
Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,Tăng vốn trong năm từ trả cổ tức bằng cổ phiếu,695.457.780.000,-,-,-,(695.457.780.000),-,695457780000.0,,,,-695457780000.0,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.762.034.876.097,1.762.034.876.097,,,,,1762034876097.0,1762034876097.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,264.305.231.415,(264.305.231.415),-,,,,264305231415.0,-264305231415.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(6.919.940.526),(6.919.940.526),,,,,-6919940526.0,-6919940526.0
Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,Số dư tại ngày 31 tháng 12 năm 2018,6.599.210.630.000,98.800.000.000,(90.250.000.000),688.441.619.221,1.499.406.354.404,8.795.608.603.625,6599210630000.0,98800000000.0,-90250000000.0,688441619221.0,1499406354404.0,8795608603625.0
