row_label_raw,row_label_full,Số dư cuối năm,31/12/2018VNDPhải thu/(Phải trả),31/12/2017VND,numeric__31/12/2018VNDPhải thu/(Phải trả),numeric__31/12/2017VND
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông,,,,
Tiền gửi từ công ty con,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông > Tiền gửi từ công ty con,Tiền gửi từ công ty con,(85.163.107.582),(60.002.717.029),-85163107582.0,-60002717029.0
Phải thu khác từ công ty con,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông > Phải thu khác từ công ty con,Phải thu khác từ công ty con,59.106.887.720,28.407.513.072,59106887720.0,28407513072.0
Đầu tư góp vốn,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng Thương mại Phương Đông > Đầu tư góp vốn,Đầu tư góp vốn,25.000.000.000,25.000.000.000,25000000000.0,25000000000.0
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,
Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,,,,
Tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Tiền gửi,Tiền gửi,(571.138.362.988),(604.315.504.416),-571138362988.0,-604315504416.0
Lãi phải trả,Tổng Công ty Bến Thành – TNHH MTV > Lãi phải trả,Lãi phải trả,(2.364.252.057),(1.787.423.609),-2364252057.0,-1787423609.0
Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,Giao dịch phát sinh trong năm,2018VND,2017VND,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,
Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng,,,,
Nhận tiền gửi,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Nhận tiền gửi,Nhận tiền gửi,11.964.610.318.264,5.936.276.721.337,11964610318264.0,5936276721337.0
Rút tiền gửi,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Rút tiền gửi,Rút tiền gửi,11.939.449.927.711,5.876.274.004.308,11939449927711.0,5876274004308.0
Chi phí hoạt động dịch vụ,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Chi phí hoạt động dịch vụ,Chi phí hoạt động dịch vụ,5.624.236.455,2.059.982.951,5624236455.0,2059982951.0
Thu nhập hoạt động dịch vụ,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Thu nhập hoạt động dịch vụ,Thu nhập hoạt động dịch vụ,1.267.332.592,697.228.190,1267332592.0,697228190.0
Chi phí lãi tiền gửi,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,45.946.793,38.508.953,45946793.0,38508953.0
Góp vốn,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Góp vốn,Góp vốn,-,25.000.000.000,,25000000000.0
Nhận cổ tức,Công ty TNHH MTV Chuyển tiền Quốc tế Ngân hàng > Nhận cổ tức,Nhận cổ tức,2.632.981.728,-,2632981728.0,
Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),Các bên liên quan khác (*),,
Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,Tổng Công ty Bến Thành – TNHH MTV,,,,
Nhận tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Nhận tiền gửi,Nhận tiền gửi,3.167.348.137.312,1.738.303.740.109,3167348137312.0,1738303740109.0
Rút tiền gửi,Tổng Công ty Bến Thành – TNHH MTV > Rút tiền gửi,Rút tiền gửi,3.200.525.278.740,1.784.209.867.475,3200525278740.0,1784209867475.0
"Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc",,
Thù lao trả cho các Thành viên Hội đồng Quản trị,"Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc > Thù lao trả cho các Thành viên Hội đồng Quản trị",Thù lao trả cho các Thành viên Hội đồng Quản trị,7.498.249.499,4.070.410.000,7498249499.0,4070410000.0
Thù lao trả cho Ban Kiểm soát,"Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc > Thù lao trả cho Ban Kiểm soát",Thù lao trả cho Ban Kiểm soát,2.197.055.000,1.761.630.000,2197055000.0,1761630000.0
"Tiền lương, thưởng và phụ cấp trả cho Ban Tổng Giám đốc","Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc > Tiền lương, thưởng và phụ cấp trả cho Ban Tổng Giám đốc","Tiền lương, thưởng và phụ cấp trả cho Ban Tổng Giám đốc",25.719.968.121,12.145.675.937,25719968121.0,12145675937.0
