row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm2018,Quá hạnVND,Khôngchịu lãiVND,Dưới1 thángVND,Từ 1 đến3 thángVND,Từ trên 3 đến6 thángVND,Từ trên 6 đến12 thángVND,Từ trên 1 đến5 nămVND,Trên 5 nămVND,TổngVND,numeric__Quá hạnVND,numeric__Khôngchịu lãiVND,numeric__Dưới1 thángVND,numeric__Từ 1 đến3 thángVND,numeric__Từ trên 3 đến6 thángVND,numeric__Từ trên 6 đến12 thángVND,numeric__Từ trên 1 đến5 nămVND,numeric__Trên 5 nămVND,numeric__TổngVND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,680.247.116.192,-,-,-,-,-,-,680.247.116.192,,680247116192.0,,,,,,,680247116192.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,1.275.368.798.168,-,-,-,-,-,1.275.368.798.168,,,1275368798168.0,,,,,,1275368798168.0
Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,Tiền gửi và cho vay các tổ chứctín dụng khác – gộp,-,-,9.547.100.923.175,3.289.900.000.000,377.675.653.900,231.793.926.840,-,-,13.446.470.503.915,,,9547100923175.0,3289900000000.0,377675653900.0,231793926840.0,,,13446470503915.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,62.021.072.161,-,-,-,-,-,-,62.021.072.161,,62021072161.0,,,,,,,62021072161.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.153.487.131.305,-,11.631.983.012.763,19.294.657.278.997,16.555.483.615.345,3.757.271.931.181,2.923.468.544.347,-,56.316.351.513.938,2153487131305.0,,11631983012763.0,19294657278997.0,16555483615345.0,3757271931181.0,2923468544347.0,,56316351513938.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,622.566.930.519,600.000.000.000,500.000.000.000,1.395.000.000.000,688.260.000.000,14.409.530.200.000,6.228.666.600.000,24.444.023.730.519,,622566930519.0,600000000000.0,500000000000.0,1395000000000.0,688260000000.0,14409530200000.0,6228666600000.0,24444023730519.0
"Gớp vốn, đầu tư dài hạn – gộp","Tài sản > Gớp vốn, đầu tư dài hạn – gộp","Gớp vốn, đầu tư dài hạn – gộp",-,49.540.000.000,-,-,-,-,-,-,49.540.000.000,,49540000000.0,,,,,,,49540000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,529.287.598.940,-,-,-,-,-,-,529.287.598.940,,529287598940.0,,,,,,,529287598940.0
Tài sản có khác – gộp,Tài sản > Tài sản có khác – gộp,Tài sản có khác – gộp,4.800.000.000,3.874.520.829.865,-,-,-,-,-,-,3.879.320.829.865,4800000000.0,3874520829865.0,,,,,,,3879320829865.0
