row_label_raw,row_label_full,TT,Tên đơn vị,Giá trị mua trong kỳ > Nội dung,Giá trị mua trong kỳ > Giá trị,Giá trị bán trong kỳ > Nội dung,Giá trị bán trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nội dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bán trong kỳ > Nội dung,numeric__Giá trị bán trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
1,1,1,Công ty Kho vận và Cảng Cẩm phả - Vinacomin,Mua than,4.651.140.943.212,Dịch vụ vận chuyển than,185.733.398.981,,,4651140943212.0,,185733398981.0
2,2,2,Tổng công ty Công nghiệp Hóa chất mỏ - Vinacomin,Mua dịch vụ,7.262.852.780,,-,,,7262852780.0,,
3,3,3,Công ty CP Công nghiệp Ô tô - Vinacomin,"Mua vật tư, dịch vụ",2.371.037.001,,-,,,2371037001.0,,
4,4,4,Bệnh viện Than - Khoáng sản,Khám sức khoẻ,905.405.498,,-,,,905405498.0,,
5,5,5,Viện Cơ khí năng lượng và mỏ - Vinacomin,"Mua vật tư, dịch vụ",21.203.388.404,,-,,,21203388404.0,,
6,6,6,Trường quản trị kinh doanh - Vinacomin,Đào tạo,2.275.664.788,,-,,,2275664788.0,,
7,7,7,Công ty Kho vận Đá bạc - Vinacomin,Mua than,2.292.543.012.133,,-,,,2292543012133.0,,
8,8,8,Công ty TNHH MTV môi trường - TKV,Mua dịch vụ,706.838.280,Bán phế liệu,140.989.140,,,706838280.0,,140989140.0
9,9,9,"Công ty CP Tin Học, Công Nghệ, Môi trường - Vinacomin",Dịch vụ quan trắc,395.637.545,,-,,,395637545.0,,
10,10,10,Trường cao đẳng nghề Than - Khoáng sản Việt Nam,Đào tạo,536.745.000,,-,,,536745000.0,,
11,11,11,Công ty CP Du lịch & Thương mại - Vinacomin,Dịch vụ du lịch,2.950.020.180,,-,,,2950020180.0,,
12,12,12,Công ty CP VLXD và kinh doanh tổng hợp - VVMI,Mua thiết bị,21.543.730.581,,-,,,21543730581.0,,
13,13,13,Công ty CP Vật tư - TKV,Mua vật tư,76.154.040.930,Bán phế liệu,1.435.192,,,76154040930.0,,1435192.0
14,14,14,Công ty Than Na Dương - VVMI,,-,Bán điện,332.107.922,,,,,332107922.0
15,15,15,Công ty Than Núi Hồng - VVMI,,-,Bán điện,1.274.126.238,,,,,1274126238.0
16,16,16,Công ty CP Xi măng Quán Triều - VVMI,,-,Bán điện,491.354.634,,,,,491354634.0
17,17,17,Công ty CP Vận tải và đưa đón thợ mỏ - Vinacomin,Thuê xe,149.600.000,,-,,,149600000.0,,
18,18,18,Công ty CP Tư vấn Đầu tư mỏ và công nghiệp - Vinacomin,"Mua thiết bị, dịch vụ",192.537.964,,-,,,192537964.0,,
