row_label_raw,row_label_full,TÀI SẢN,Mã số,TM,31/12/2020,01/01/2020,numeric__Mã số,numeric__TM,numeric__31/12/2020,numeric__01/01/2020
TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,TÀI SẢN NGĂN HẠN,100,,3.516.984.751.427,3.523.316.145.250,100.0,,3516984751427.0,3523316145250.0
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,5.1,452.628.280.002,305.151.834.284,110.0,51.0,452628280002.0,305151834284.0
Tiền,Tiền,Tiền,111,,436.628.280.002,288.151.834.284,111.0,,436628280002.0,288151834284.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,112,,16.000.000.000,17.000.000.000,112.0,,16000000000.0,17000000000.0
Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,5.2,30.700.000.000,10.000.000.000,120.0,52.0,30700000000.0,10000000000.0
Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,,30.700.000.000,10.000.000.000,123.0,,30700000000.0,10000000000.0
Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,2.672.251.595.554,2.926.314.963.653,130.0,,2672251595554.0,2926314963653.0
Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,5.3,2.622.176.180.243,2.878.045.470.171,131.0,53.0,2622176180243.0,2878045470171.0
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,14.369.474.827,4.761.907.270,132.0,,14369474827.0,4761907270.0
Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,Phải thu nội bộ ngắn hạn,133,,226.114.905,-,133.0,,226114905.0,
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,5.4,35.979.218.665,43.658.522.868,136.0,54.0,35979218665.0,43658522868.0
Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),Dự phòng phải thu ngắn hạn khó đòi (*),137,,(499.393.086),(555.969.473),137.0,,-499393086.0,-555969473.0
Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,Tài sản thiếu chờ xử lý,139,,-,405.032.817,139.0,,,405032817.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,140,5.6,286.116.394.678,202.104.176.570,140.0,56.0,286116394678.0,202104176570.0
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,141,,286.322.318.967,202.140.032.008,141.0,,286322318967.0,202140032008.0
Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),Dự phòng giảm giá hàng tồn kho (*),149,,(205.924.289),(35.855.438),149.0,,-205924289.0,-35855438.0
Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,75.288.481.193,79.745.170.743,150.0,,75288481193.0,79745170743.0
