row_label_raw,row_label_full,col_0,31/12/2020(VND),01/01/2020(VND),numeric__31/12/2020(VND),numeric__01/01/2020(VND)
a. Ngắn hạn,a. Ngắn hạn,a. Ngắn hạn,8.915.426.848,26.060.324.848,8915426848.0,26060324848.0
"Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng","Công cụ, dụng cụ xuất dùng",7.657.068.360,11.756.612.305,7657068360.0,11756612305.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,574.731.794,623.025.942,574731794.0,623025942.0
Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,683.626.694,13.680.686.601,683626694.0,13680686601.0
b. Dài hạn,b. Dài hạn,b. Dài hạn,469.014.901.923,893.598.552.737,469014901923.0,893598552737.0
Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,Công cụ dụng cụ phân bổ nhiều năm,34.768.185.653,28.654.024.056,34768185653.0,28654024056.0
Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,Chi phí sửa chữa lớn chờ phân bổ,273.535.090.137,242.871.599.929,273535090137.0,242871599929.0
Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,Chi phí giai đoạn triển khai không đủ tiêu chuẩn ghi nhận TSCĐ vô hình,31.179.516.355,27.005.656.390,31179516355.0,27005656390.0
Lỗ CLTG phân bổ không quá 5 năm,Lỗ CLTG phân bổ không quá 5 năm,Lỗ CLTG phân bổ không quá 5 năm,116.379.159.994,581.895.799.972,116379159994.0,581895799972.0
Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,13.152.949.784,13.171.472.390,13152949784.0,13171472390.0
Cộng,Cộng,Cộng,477.930.328.771,919.658.877.585,477930328771.0,919658877585.0
