row_label_raw,row_label_full,CHÌ TIÊU,Mã số,TM,Năm 2020,Năm 2019,numeric__Mã số,numeric__TM,numeric__Năm 2020,numeric__Năm 2019
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD,,,,
Lợi nhuận trước thuế,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KD > Lợi nhuận trước thuế,Lợi nhuận trước thuế,01,,698.576.961.969,599.926.387.233,1.0,,698576961969.0,599926387233.0
Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,Điều chỉnh cho các khoản:,,,,
Khấu hao TSCĐ và BĐSĐT,Điều chỉnh cho các khoản: > Khấu hao TSCĐ và BĐSĐT,Khấu hao TSCĐ và BĐSĐT,02,,1.692.966.327.320,2.101.102.662.920,2.0,,1692966327320.0,2101102662920.0
Các khoản dự phòng,Điều chỉnh cho các khoản: > Các khoản dự phòng,Các khoản dự phòng,03,,113.492.464,(1.456.003.066),3.0,,113492464.0,-1456003066.0
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Điều chỉnh cho các khoản: > Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ","Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ",04,,3.486.747.530,159.921.262.780,4.0,,3486747530.0,159921262780.0
Lãi lỗ từ hoạt động đầu tư,Điều chỉnh cho các khoản: > Lãi lỗ từ hoạt động đầu tư,Lãi lỗ từ hoạt động đầu tư,05,,(278.191.721.730),(38.824.389.400),5.0,,-278191721730.0,-38824389400.0
Chi phí lãi vay,Điều chỉnh cho các khoản: > Chi phí lãi vay,Chi phí lãi vay,06,,511.976.325.877,656.730.884.623,6.0,,511976325877.0,656730884623.0
Các khoản điều chỉnh khác,Điều chỉnh cho các khoản: > Các khoản điều chỉnh khác,Các khoản điều chỉnh khác,07,,-,-,7.0,,,
Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Điều chỉnh cho các khoản: > Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,Lợi nhuận từ HĐKD trước những thay đổi vốn lưu động,08,,2.628.928.133.430,3.477.400.805.090,8.0,,2628928133430.0,3477400805090.0
"Tăng, Giảm các khoản phải thu","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải thu","Tăng, Giảm các khoản phải thu",09,,239.800.459.267,220.813.100.079,9.0,,239800459267.0,220813100079.0
"Tăng, Giảm hàng tồn kho","Điều chỉnh cho các khoản: > Tăng, Giảm hàng tồn kho","Tăng, Giảm hàng tồn kho",10,,(92.833.259.731),(9.924.655.327),10.0,,-92833259731.0,-9924655327.0
"Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Điều chỉnh cho các khoản: > Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)","Tăng, Giảm các khoản phải trả (Không kể lãi vay phải trả và thuế TNDN phải nộp)",11,,373.252.633.129,(643.557.121.808),11.0,,373252633129.0,-643557121808.0
"Tăng, Giảm chi phí trả trước","Điều chỉnh cho các khoản: > Tăng, Giảm chi phí trả trước","Tăng, Giảm chi phí trả trước",12,,441.728.548.814,109.264.227.798,12.0,,441728548814.0,109264227798.0
