row_label_raw,row_label_full,col_0,Giá trị ghi sổ > 31/12/2020,Giá trị ghi sổ > 01/01/2020,Giá trị hợp lý > 31/12/2020,Giá trị hợp lý > 01/01/2020,numeric__Giá trị ghi sổ > 31/12/2020,numeric__Giá trị ghi sổ > 01/01/2020,numeric__Giá trị hợp lý > 31/12/2020,numeric__Giá trị hợp lý > 01/01/2020
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,
Các khoản đầu tư tài chính,Tài sản tài chính > Các khoản đầu tư tài chính,Các khoản đầu tư tài chính,1.255.638.734.159,1.234.938.734.159,1.255.638.734.159,1.234.938.734.159,1255638734159.0,1234938734159.0,1255638734159.0,1234938734159.0
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,
Phải thu khách hàng,Các khoản cho vay và phải thu > Phải thu khách hàng,Phải thu khách hàng,2.622.176.180.243,2.878.045.470.171,2.621.676.787.157,2.878.045.470.171,2622176180243.0,2878045470171.0,2621676787157.0,2878045470171.0
Các khoản PT khác,Các khoản cho vay và phải thu > Các khoản PT khác,Các khoản PT khác,47.209.192.933,52.347.310.773,47.209.192.933,52.347.310.773,47209192933.0,52347310773.0,47209192933.0,52347310773.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính sẵn sàng để bán > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,452.628.280.002,305.151.834.284,452.628.280.002,305.151.834.284,452628280002.0,305151834284.0,452628280002.0,305151834284.0
Tổng cộng,Tài sản tài chính sẵn sàng để bán > Tổng cộng,Tổng cộng,4.377.652.387.337,4.470.483.349.387,4.377.152.994.251,4.470.483.349.387,4377652387337.0,4470483349387.0,4377152994251.0,4470483349387.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,
Phải trả người bán,Nợ phải trả tài chính > Phải trả người bán,Phải trả người bán,3.119.666.078.616,2.530.586.690.337,3.119.666.078.616,2.530.586.690.337,3119666078616.0,2530586690337.0,3119666078616.0,2530586690337.0
Phải trả khác,Nợ phải trả tài chính > Phải trả khác,Phải trả khác,74.406.637.622,756.817.938.798,74.406.637.622,756.817.938.798,74406637622.0,756817938798.0,74406637622.0,756817938798.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,9.186.428.211.656,10.857.546.397.210,9.186.428.211.656,10.857.546.397.210,9186428211656.0,10857546397210.0,9186428211656.0,10857546397210.0
Tổng cộng,Nợ phải trả tài chính > Tổng cộng,Tổng cộng,12.380.500.927.894,14.144.951.026.345,12.380.500.927.894,14.144.951.026.345,12380500927894.0,14144951026345.0,12380500927894.0,14144951026345.0
