row_label_raw,row_label_full,col_0,col_1,01/01/2020(VND) > Giá trị,01/01/2020(VND) > Khả năngtrà nợ,Tăng trong năm,Giảm trong năm,31/12/2020(VND) > Giá trị,31/12/2020(VND) > Khả năngtrà nợ,numeric__col_1,numeric__01/01/2020(VND) > Giá trị,numeric__01/01/2020(VND) > Khả năngtrà nợ,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__31/12/2020(VND) > Giá trị,numeric__31/12/2020(VND) > Khả năngtrà nợ
a.,a.,a.,Gốc vay và nợ ngắn hạn,982.255.288.530,982.255.288.530,3.975.826.164.348,3.698.175.678.538,1.259.905.774.340,1.259.905.774.340,,982255288530.0,982255288530.0,3975826164348.0,3698175678538.0,1259905774340.0,1259905774340.0
a.1,a.1,a.1,Gốc vay ngắn hạn,982.255.288.530,982.255.288.530,3.975.826.164.348,3.698.175.678.538,1.259.905.774.340,1.259.905.774.340,,982255288530.0,982255288530.0,3975826164348.0,3698175678538.0,1259905774340.0,1259905774340.0
a.1,a.1,a.1,Vay ngân hàng,982.255.288.530,982.255.288.530,3.962.651.164.348,3.694.945.678.538,1.249.960.774.340,1.249.960.774.340,,982255288530.0,982255288530.0,3962651164348.0,3694945678538.0,1249960774340.0,1249960774340.0
a.1,a.1,a.1,Vay đối tượng khác,-,-,13.175.000.000,3.230.000.000,9.945.000.000,9.945.000.000,,,,13175000000.0,3230000000.0,9945000000.0,9945000000.0
a.2,a.2,a.2,Gốc nợ ngắn hạn,-,-,-,-,-,-,,,,,,,
b.,a.2 > b.,b.,Gốc vay và nợ dài hạn,9.875.291.108.680,9.875.291.108.680,909.640.988.899,2.858.409.660.263,7.926.522.437.316,7.926.522.437.316,,9875291108680.0,9875291108680.0,909640988899.0,2858409660263.0,7926522437316.0,7926522437316.0
b.1,a.2 > b.1,b.1,Gốc vay dài hạn,8.915.291.108.680,8.915.291.108.680,909.640.988.899,2.263.409.660.263,7.561.522.437.316,7.561.522.437.316,,8915291108680.0,8915291108680.0,909640988899.0,2263409660263.0,7561522437316.0,7561522437316.0
-,a.2 > -,-,Từ 1 năm đến 5 năm,36.691.487.534,36.691.487.534,37.793.187.000,19.028.855.848,55.455.818.686,55.455.818.686,,36691487534.0,36691487534.0,37793187000.0,19028855848.0,55455818686.0,55455818686.0
-,a.2 > -,-,Vay ngân hàng,36.691.487.534,36.691.487.534,37.793.187.000,19.028.855.848,55.455.818.686,55.455.818.686,,36691487534.0,36691487534.0,37793187000.0,19028855848.0,55455818686.0,55455818686.0
-,a.2 > -,-,Trên 5 năm,8.878.599.621.146,8.878.599.621.146,871.847.801.899,2.244.380.804.415,7.506.066.618.630,7.506.066.618.630,,8878599621146.0,8878599621146.0,871847801899.0,2244380804415.0,7506066618630.0,7506066618630.0
-,a.2 > -,-,Vay ngân hàng,4.330.121.722.717,4.330.121.722.717,779.348.707.405,860.936.532.776,4.248.533.897.346,4.248.533.897.346,,4330121722717.0,4330121722717.0,779348707405.0,860936532776.0,4248533897346.0,4248533897346.0
-,a.2 > -,-,Vay Tập đoàn,4.548.477.898.429,4.548.477.898.429,82.315.294.494,1.383.444.271.639,3.247.348.921.284,3.247.348.921.284,,4548477898429.0,4548477898429.0,82315294494.0,1383444271639.0,3247348921284.0,3247348921284.0
-,a.2 > -,-,Vay đối tượng khác,-,-,10.183.800.000,-,10.183.800.000,10.183.800.000,,,,10183800000.0,,10183800000.0,10183800000.0
b.2,a.2 > b.2,b.2,Gốc nợ dài hạn,960.000.000.000,960.000.000.000,-,595.000.000.000,365.000.000.000,365.000.000.000,,960000000000.0,960000000000.0,,595000000000.0,365000000000.0,365000000000.0
-,a.2 > -,-,Từ 5 năm đến 10 năm,960.000.000.000,960.000.000.000,-,595.000.000.000,365.000.000.000,365.000.000.000,,960000000000.0,960000000000.0,,595000000000.0,365000000000.0,365000000000.0
-,a.2 > -,-,Trái phiếu phát hành (*),960.000.000.000,960.000.000.000,-,595.000.000.000,365.000.000.000,365.000.000.000,,960000000000.0,960000000000.0,,595000000000.0,365000000000.0,365000000000.0
-,a.2 > -,-,Cộng,10.857.546.397.210,10.857.546.397.210,4.885.467.153.247,6.556.585.338.801,9.186.428.211.656,9.186.428.211.656,,10857546397210.0,10857546397210.0,4885467153247.0,6556585338801.0,9186428211656.0,9186428211656.0
