row_label_raw,row_label_full,TT,Tên đơn vị,Công nợ > 131,Công nợ > 138,Công nợ > 331,Công nợ > 335,Công nợ > 336,Công nợ > 338,Công nợ > 341,numeric__Tên đơn vị,numeric__Công nợ > 131,numeric__Công nợ > 138,numeric__Công nợ > 331,numeric__Công nợ > 335,numeric__Công nợ > 336,numeric__Công nợ > 338,numeric__Công nợ > 341
A,A,A,B,1,,2,6,,7,8,,1.0,,2.0,6.0,,7.0,8.0
A,A,A,NỘ PHẢI THU,,,,,,,,,,,,,,,
I,A > I,I,CÁC KHOẢN NỘ NGĂN HẠN,692.642.627,-,392.790.000,-,226.114.905,-,-,,692642627.0,,392790000.0,,226114905.0,,
1,1,1,Viện Khoa học Công nghệ Mỏ - Vinacomin,-,-,-,-,-,-,-,,,,,,,,
2,1 > 2,2,Công ty Than Na Dương - VVMI,30.319.604,-,-,-,-,-,-,,30319604.0,,,,,,
3,1 > 3,3,Công ty Than Núi Hồng - VVMI,118.810.580,-,-,-,-,-,-,,118810580.0,,,,,,
4,1 > 4,4,Công ty CP Xi măng Quán Triều - VVMI,41.332.823,-,-,-,-,-,-,,41332823.0,,,,,,
5,1 > 5,5,Công ty Kho vận và Cằng Cẩm Phả - Vinacomin,502.179.620,-,-,-,-,-,-,,502179620.0,,,,,,
6,1 > 6,6,Tập đoàn Công nghiệp Than - Khoáng sản Việt Nam,-,-,300.000.000,-,226.114.905,-,-,,,,300000000.0,,226114905.0,,
7,1 > 7,7,Trường Quản trị kinh doanh,-,-,92.790.000,-,-,-,-,,,,92790000.0,,,,
II,II,II,CÁC KHOẢN NỘ DÀI HẠN,-,-,-,-,-,-,-,,,,,,,,
,,,CỘNG,692.642.627,-,392.790.000,-,226.114.905,-,-,,692642627.0,,392790000.0,,226114905.0,,
B,B,B,NỘ PHẢI TRẢ,,,,,,,,,,,,,,,
I,B > I,I,CÁC KHOẢN NỘ NGĂN HẠN,543.823.000,198.054.095,1.595.519.197.904,2.158.551.989,-,147.489.705,810.679.233.852,,543823000.0,198054095.0,1595519197904.0,2158551989.0,,147489705.0,810679233852.0
1,B > 1,1,Công ty Kho Vận Và Cằng Cẩm Phả - Vinacomin,-,-,1.512.637.525.908,689.071.330,-,-,-,,,,1512637525908.0,689071330.0,,,
2,B > 2,2,"Công ty CP Tin Học, Công Nghệ, Môi trường - Vinacomin",-,-,217.600.649,-,-,-,-,,,,217600649.0,,,,
3,B > 3,3,Công ty Cổ phần Vật Tư - TKV,-,-,46.270.473.198,-,-,-,-,,,,46270473198.0,,,,
4,B > 4,4,Công ty CP công nghiệp ô tô - Vinacomin,-,-,1.363.167.105,-,-,-,-,,,,1363167105.0,,,,
5,B > 5,5,Công ty CP Cơ khí mỏ Việt Bắc - VVMI,-,-,510.094.499,-,-,-,-,,,,510094499.0,,,,
6,B > 6,6,Viện cơ khí năng lượng và mỏ - Vinacomin,-,-,10.162.524.330,-,-,-,-,,,,10162524330.0,,,,
7,B > 7,7,Công ty Kho vận Đá Bạc - Vinacomin,-,-,5.256.786.239,-,-,-,-,,,,5256786239.0,,,,
8,B > 8,8,Công ty TNHH MTV Môi trường - TKV,-,-,45.263.548,-,-,-,-,,,,45263548.0,,,,
9,B > 9,9,Trường Quản trị kinh doanh Vinacomin,-,-,389.591.394,-,-,-,-,,,,389591394.0,,,,
10,B > 10,10,Công ty CP Xuất nhập khẩu than - Vinacomin,-,-,10.694.056.648,-,-,-,-,,,,10694056648.0,,,,
11,B > 11,11,Công ty Công nghiệp hoá chất mỏ Quảng Ninh,-,-,991.582.900,-,-,-,-,,,,991582900.0,,,,
12,B > 12,12,Công ty CP Kinh doanh than Cẩm Phả - Vinacomin,-,-,206.936.651,-,-,-,-,,,,206936651.0,,,,
