row_label_raw,row_label_full,col_0,31/12/2020(VND) > Giá trị,31/12/2020(VND) > Số có khả năngtrà nợ,01/01/2020(VND) > Giá trị,01/01/2020(VND) > Số có khả năng trả nợ,numeric__31/12/2020(VND) > Giá trị,numeric__31/12/2020(VND) > Số có khả năngtrà nợ,numeric__01/01/2020(VND) > Giá trị,numeric__01/01/2020(VND) > Số có khả năng trả nợ
Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,Các khoản phải trả người bán ngắn hạn,2.720.376.878.030,2.720.376.878.030,2.131.039.495.436,2.131.039.495.436,2720376878030.0,2720376878030.0,2131039495436.0,2131039495436.0
Công ty Kho vận và C้าง Cẩm Phả - Vinacomin,Công ty Kho vận và C้าง Cẩm Phả - Vinacomin,Công ty Kho vận và C้าง Cẩm Phả - Vinacomin,1.512.637.525.908,1.512.637.525.908,883.178.627.715,883.178.627.715,1512637525908.0,1512637525908.0,883178627715.0,883178627715.0
Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,Tổng Công ty Đông Bắc,218.526.960.268,218.526.960.268,205.212.032.223,205.212.032.223,218526960268.0,218526960268.0,205212032223.0,205212032223.0
Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,Công ty Kho Vận Đá Bạc - Vinacomin,5.256.786.239,5.256.786.239,724.550.015,724.550.015,5256786239.0,5256786239.0,724550015.0,724550015.0
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,378.152.411.411,378.152.411.411,433.320.772.952,433.320.772.952,378152411411.0,378152411411.0,433320772952.0,433320772952.0
Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),142.085.190.467,142.085.190.467,142.176.996.535,142.176.996.535,142085190467.0,142085190467.0,142176996535.0,142176996535.0
Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,Công ty CP Vật tư & Thiết bị Công nghiệp,31.442.900.000,31.442.900.000,-,-,31442900000.0,31442900000.0,,
LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,LD HydroChina HuaDong và Tianjin Alstom Hydro,-,-,10.525.823.121,10.525.823.121,,,10525823121.0,10525823121.0
Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,Công ty TNHH thương mại và thiết bị điện máy Tân Dương,15.962.719.858,15.962.719.858,68.340.024.355,68.340.024.355,15962719858.0,15962719858.0,68340024355.0,68340024355.0
Phải trả các đối tượng khác,Phải trả các đối tượng khác,Phải trả các đối tượng khác,416.312.383.879,416.312.383.879,387.560.668.520,387.560.668.520,416312383879.0,416312383879.0,387560668520.0,387560668520.0
Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,Các khoản phải trả người bán dài hạn,399.289.200.586,399.289.200.586,399.547.194.901,399.547.194.901,399289200586.0,399289200586.0,399547194901.0,399547194901.0
Nhà thầu SFECO,Nhà thầu SFECO,Nhà thầu SFECO,399.289.200.586,399.289.200.586,399.547.194.901,399.547.194.901,399289200586.0,399289200586.0,399547194901.0,399547194901.0
Cộng,Cộng,Cộng,3.119.666.078.616,3.119.666.078.616,2.530.586.690.337,2.530.586.690.337,3119666078616.0,3119666078616.0,2530586690337.0,2530586690337.0
