row_label_raw,row_label_full,col_0,Năm 2020(VND),Năm 2019(VND),numeric__Năm 2020(VND),numeric__Năm 2019(VND)
Doanh thu bán hàng,Doanh thu bán hàng,Doanh thu bán hàng,12.671.318.218.184,12.430.132.622.331,12671318218184.0,12430132622331.0
Doanh thu khác,Doanh thu khác,Doanh thu khác,97.459.971.648,154.229.347.495,97459971648.0,154229347495.0
Cộng,Cộng,Cộng,12.768.778.189.832,12.584.361.969.826,12768778189832.0,12584361969826.0
