row_label_raw,row_label_full,col_0,Năm 2020(VND),Năm 2020(VND)_1,numeric__Năm 2020(VND),numeric__Năm 2020(VND)_1
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,10.931.465.153.869,10.684.396.391.175,10931465153869.0,10684396391175.0
Giá vốn khác,Giá vốn khác,Giá vốn khác,90.022.838.153,148.805.843.287,90022838153.0,148805843287.0
Cộng,Cộng,Cộng,11.021.487.992.022,10.833.202.234.462,11021487992022.0,10833202234462.0
