row_label_raw,row_label_full,col_0,Nguyên tệ,VND,numeric__Nguyên tệ,numeric__VND
Ngoại tệ (USD),Ngoại tệ (USD),Ngoại tệ (USD),"455,46 #",10.477.857,,10477857.0
Đồng Việt Nam,Đồng Việt Nam,Đồng Việt Nam,,435.988.937.931,,435988937931.0
Cộng,Cộng,Cộng,,435.999.415.788,,435999415788.0
