row_label_raw,row_label_full,Ngày 01/01/2020 > Giá trị ghi sổ:,Dưới 1 năm > Ngày 01/01/2020 > Giá trị ghi sổ:,Từ 1 năm trở lên > Ngày 01/01/2020 > Giá trị ghi sổ:,Tổng cộng > Ngày 01/01/2020 > Giá trị ghi sổ:,numeric__Dưới 1 năm > Ngày 01/01/2020 > Giá trị ghi sổ:,numeric__Từ 1 năm trở lên > Ngày 01/01/2020 > Giá trị ghi sổ:,numeric__Tổng cộng > Ngày 01/01/2020 > Giá trị ghi sổ:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,305.151.834.284,-,305.151.834.284,305151834284.0,,305151834284.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,2.878.045.470.171,-,2.878.045.470.171,2878045470171.0,,2878045470171.0
Đầu tư,Đầu tư,Đầu tư,10.000.000.000,1.224.938.734.159,1.234.938.734.159,10000000000.0,1224938734159.0,1234938734159.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,-,-,-,,,
Phải thu khác,Phải thu về cho vay > Phải thu khác,Phải thu khác,43.129.602.868,9.773.677.378,52.903.280.246,43129602868.0,9773677378.0,52903280246.0
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(555.969.473),-,(555.969.473),-555969473.0,,-555969473.0
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,3.235.770.937.850,1.234.712.411.537,4.470.483.349.387,3235770937850.0,1234712411537.0,4470483349387.0
Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,Ngày 01/01/2020,,,
Phải trả người bán,Ngày 01/01/2020 > Phải trả người bán,Phải trả người bán,2.131.039.495.436,399.547.194.901,2.530.586.690.337,2131039495436.0,399547194901.0,2530586690337.0
"Phải trả, PN khác và chỉ phí phải trả","Ngày 01/01/2020 > Phải trả, PN khác và chỉ phí phải trả","Phải trả, PN khác và chỉ phí phải trả",756.817.938.798,-,756.817.938.798,756817938798.0,,756817938798.0
Các khoản vay và nợ,Ngày 01/01/2020 > Các khoản vay và nợ,Các khoản vay và nợ,3.128.955.578.257,7.728.590.818.953,10.857.546.397.210,3128955578257.0,7728590818953.0,10857546397210.0
Tổng cộng,Ngày 01/01/2020 > Tổng cộng,Tổng cộng,6.016.813.012.491,8.128.138.013.854,14.144.951.026.345,6016813012491.0,8128138013854.0,14144951026345.0
Chênh lệch thanh khoản thuần,Ngày 01/01/2020 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.781.042.074.641),(6.893.425.602.317),(9.674.467.676.958),-2781042074641.0,-6893425602317.0,-9674467676958.0
