row_label_raw,row_label_full,Ngày 31/12/2020 > Giá trị ghi sổ:,Dưới 1 năm > Ngày 31/12/2020 > Giá trị ghi sổ:,Từ 1 năm trở lên > Ngày 31/12/2020 > Giá trị ghi sổ:,Tổng cộng > Ngày 31/12/2020 > Giá trị ghi sổ:,numeric__Dưới 1 năm > Ngày 31/12/2020 > Giá trị ghi sổ:,numeric__Từ 1 năm trở lên > Ngày 31/12/2020 > Giá trị ghi sổ:,numeric__Tổng cộng > Ngày 31/12/2020 > Giá trị ghi sổ:
Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,452.628.280.002,-,452.628.280.002,452628280002.0,,452628280002.0
Phải thu khách hàng,Phải thu khách hàng,Phải thu khách hàng,2.622.176.180.243,-,2.622.176.180.243,2622176180243.0,,2622176180243.0
Đầu tư,Đầu tư,Đầu tư,30.700.000.000,1.224.938.734.159,1.255.638.734.159,30700000000.0,1224938734159.0,1255638734159.0
Phải thu về cho vay,Phải thu về cho vay,Phải thu về cho vay,-,-,-,,,
Phải thu khác,Phải thu về cho vay > Phải thu khác,Phải thu khác,35.979.218.665,11.229.974.268,47.209.192.933,35979218665.0,11229974268.0,47209192933.0
Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,Trừ:,,,
Dự phòng phải thu khó đòi,Trừ: > Dự phòng phải thu khó đòi,Dự phòng phải thu khó đòi,(499.393.086),-,(499.393.086),-499393086.0,,-499393086.0
Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,Dự phòng giảm giá các khoản đầu tư,-,-,-,,,
Tổng cộng,Dự phòng giảm giá các khoản đầu tư > Tổng cộng,Tổng cộng,3.140.984.285.824,1.236.168.708.427,4.377.152.994.251,3140984285824.0,1236168708427.0,4377152994251.0
Ngày 31/12/2020,Ngày 31/12/2020,Ngày 31/12/2020,Ngày 31/12/2020,Ngày 31/12/2020,Ngày 31/12/2020,,,
Phải trả người bán,Ngày 31/12/2020 > Phải trả người bán,Phải trả người bán,2.720.376.878.030,399.289.200.586,3.119.666.078.616,2720376878030.0,399289200586.0,3119666078616.0
"Phải trả, phải nộp khác và chi phí phải trả","Ngày 31/12/2020 > Phải trả, phải nộp khác và chi phí phải trả","Phải trả, phải nộp khác và chi phí phải trả",74.406.637.622,-,74.406.637.622,74406637622.0,,74406637622.0
Các khoản vay và nợ,Ngày 31/12/2020 > Các khoản vay và nợ,Các khoản vay và nợ,2.974.874.610.688,6.211.553.600.968,9.186.428.211.656,2974874610688.0,6211553600968.0,9186428211656.0
Tổng cộng,Ngày 31/12/2020 > Tổng cộng,Tổng cộng,5.769.658.126.340,6.610.842.801.554,12.380.500.927.894,5769658126340.0,6610842801554.0,12380500927894.0
Chênh lệch thanh khoản thuần,Ngày 31/12/2020 > Chênh lệch thanh khoản thuần,Chênh lệch thanh khoản thuần,(2.628.673.840.516),(5.374.674.093.127),(8.003.347.933.643),-2628673840516.0,-5374674093127.0,-8003347933643.0
