row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc, trangthiết bịVND","Phương tiện vậntài, truyền đấnvND","Thiết bị, dụngcụ quản lýVND",TSCĐ khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc, trangthiết bịVND","numeric__Phương tiện vậntài, truyền đấnvND","numeric__Thiết bị, dụngcụ quản lýVND",numeric__TSCĐ khácVND,numeric__Tổng cộngVND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,9.284.414.442.854,23.373.134.950.522,336.284.644.453,56.108.161.147,267.758.825.369,33.317.701.024.345,9284414442854.0,23373134950522.0,336284644453.0,56108161147.0,267758825369.0,33317701024345.0
- Mua trong năm,NGUYÊN GIÁ > - Mua trong năm,- Mua trong năm,-,33.975.444.672,3.968.899.421,1.765.500.000,-,39.709.844.093,,33975444672.0,3968899421.0,1765500000.0,,39709844093.0
- Đầu tư XDCB hoàn thành,NGUYÊN GIÁ > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,45.675.717.842,147.226.266.604,2.961.294.760,547.684.091,2.260.263.927,198.671.227.224,45675717842.0,147226266604.0,2961294760.0,547684091.0,2260263927.0,198671227224.0
- Tăng khác,NGUYÊN GIÁ > - Tăng khác,- Tăng khác,5.082.489.321,23.430.158.691,8.949.101.313,46.390.338,865.734.697,38.373.874.360,5082489321.0,23430158691.0,8949101313.0,46390338.0,865734697.0,38373874360.0
"- Thanh lý, nhượng bán","NGUYÊN GIÁ > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(229.790.909),(18.460.244.569),(5.940.087.831),-,-,(24.630.123.309),-229790909.0,-18460244569.0,-5940087831.0,,,-24630123309.0
- Giảm khác,NGUYÊN GIÁ > - Giảm khác,- Giảm khác,(23.957.655.819),(19.465.195.980),-,(323.400.000),-,(43.746.251.799),-23957655819.0,-19465195980.0,,-323400000.0,,-43746251799.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.310.985.203.289,23.539.841.379.940,346.223.852.116,58.144.335.576,270.884.823.993,33.526.079.594.914,9310985203289.0,23539841379940.0,346223852116.0,58144335576.0,270884823993.0,33526079594914.0
GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,GIÁ TRỊ HAO MÒN,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN > Số dư đầu năm,Số dư đầu năm,2.876.907.962.448,13.893.892.969.524,291.385.732.694,53.444.902.181,245.824.086.682,17.361.455.653.529,2876907962448.0,13893892969524.0,291385732694.0,53444902181.0,245824086682.0,17361455653529.0
- Khấu hao trong năm,GIÁ TRỊ HAO MÒN > - Khấu hao trong năm,- Khấu hao trong năm,433.865.456.653,1.215.869.423.644,23.299.615.330,1.441.994.800,15.350.263.771,1.689.826.754.198,433865456653.0,1215869423644.0,23299615330.0,1441994800.0,15350263771.0,1689826754198.0
- Hao mòn trong năm,GIÁ TRỊ HAO MÒN > - Hao mòn trong năm,- Hao mòn trong năm,834.012.171,-,-,-,1.052.469.657,1.886.481.828,834012171.0,,,,1052469657.0,1886481828.0
- Tăng khác,GIÁ TRỊ HAO MÒN > - Tăng khác,- Tăng khác,695.968.543,2.351.163.807,-,15.303.301,266.233.265,3.328.668.916,695968543.0,2351163807.0,,15303301.0,266233265.0,3328668916.0
