row_label_raw,row_label_full,col_0,col_1,Năm 2020(VND),Năm 2019(VND),numeric__col_1,numeric__Năm 2020(VND),numeric__Năm 2019(VND)
a.,a.,a.,Chi phí quản lý doanh nghiệp,304.733.502.381,294.122.390.114,,304733502381.0,294122390114.0
a.,a.,a.,Chi phí nhân viên quản lý,135.339.654.991,109.021.452.967,,135339654991.0,109021452967.0
a.,a.,a.,Chi phí khấu hao,21.615.863.485,22.130.708.141,,21615863485.0,22130708141.0
a.,a.,a.,Dịch vụ mua ngoài,35.893.184.549,50.649.290.651,,35893184549.0,50649290651.0
a.,a.,a.,Các khoản khác,111.884.799.356,112.320.938.355,,111884799356.0,112320938355.0
b.,b.,b.,Chi phí bán hàng,2.197.216.586,2.894.025.005,,2197216586.0,2894025005.0
b.,b.,b.,Chi phí nhân viên,388.869.000,545.236.888,,388869000.0,545236888.0
b.,b.,b.,"Chi phí nguyên liệu, vật liệu",850.893.953,1.187.114.368,,850893953.0,1187114368.0
b.,b.,b.,Các khoản khác,957.453.633,1.161.673.749,,957453633.0,1161673749.0
b.,b.,b.,Cộng,306.930.718.967,297.016.415.119,,306930718967.0,297016415119.0
