row_label_raw,row_label_full,col_0,Doanh thu bán hàng VND,Doanh thu cung cấp dịch vụ VND,Tổng cộng VND,numeric__Doanh thu bán hàng VND,numeric__Doanh thu cung cấp dịch vụ VND,numeric__Tổng cộng VND
Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,Năm 2019,,,
Doanh thu,Năm 2019 > Doanh thu,Doanh thu,12.430.132.622.331,154.229.347.495,12.584.361.969.826,12430132622331.0,154229347495.0,12584361969826.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,10.684.396.391.175,148.805.843.287,10.833.202.234.462,10684396391175.0,148805843287.0,10833202234462.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.745.736.231.156,5.423.504.208,1.751.159.735.364,1745736231156.0,5423504208.0,1751159735364.0
Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,Năm 2020,,,
Doanh thu,Năm 2020 > Doanh thu,Doanh thu,12.671.318.218.184,97.459.971.648,12.768.778.189.832,12671318218184.0,97459971648.0,12768778189832.0
Các khoản giảm trừ,Các khoản giảm trừ,Các khoản giảm trừ,-,-,-,,,
Giá vốn hàng bán,Các khoản giảm trừ > Giá vốn hàng bán,Giá vốn hàng bán,10.931.465.153.869,90.022.838.153,11.021.487.992.022,10931465153869.0,90022838153.0,11021487992022.0
Lợi nhuận gộp,Các khoản giảm trừ > Lợi nhuận gộp,Lợi nhuận gộp,1.739.853.064.315,7.437.133.495,1.747.290.197.810,1739853064315.0,7437133495.0,1747290197810.0
