row_label_raw,row_label_full,TT,Tên đơn vị,Giá trị mua trong kỳ > Nội dung,Giá trị mua trong kỳ > Giá trị,Giá trị bản trong kỳ > Nội dung,Giá trị bản trong kỳ > Giá trị,numeric__Tên đơn vị,numeric__Giá trị mua trong kỳ > Nội dung,numeric__Giá trị mua trong kỳ > Giá trị,numeric__Giá trị bản trong kỳ > Nội dung,numeric__Giá trị bản trong kỳ > Giá trị
A,A,A,B,1,2,3,4,,1.0,2.0,3.0,4.0
19,19,19,Tổng Công ty Khoáng sản TKV - CTCP,,-,Thanh lý vật tư phế liệu,1.249.004.550,,,,,1249004550.0
20,20,20,Công ty CP Cơ khí mô Việt Bắc - VVMI,Dịch vụ sửa chữa,2.903.520.916,,-,,,2903520916.0,,
21,21,21,Viện Khoa học Công nghệ Mỏ - Vinacomin,Dịch vụ nâng cấp,587.695.702,,-,,,587695702.0,,
22,22,22,Công ty CP Phát triển Công nghệ và Thiết bị Mỏ,Dịch vụ kiểm định,196.994.732,,-,,,196994732.0,,
23,23,23,Trung tâm y tế than Khu vực Mạo Khê,Mua dịch vụ,153.160.000,,-,,,153160000.0,,
24,24,24,Công ty CP Xuất nhập khẩu Than - Vinacomin,"Mua thiết bị, dịch vụ",10.665.567.200,,-,,,10665567200.0,,
25,25,25,Công ty CP Cơ khí Hòn Gai - Viancomin,,-,Thanh lý vật tư phế liệu,401.752.000,,,,,401752000.0
26,26,26,Công ty CP cơ khí Mạo Khê - Vinacomin,,-,Thanh lý vật tư phế liệu,1.251.911.500,,,,,1251911500.0
27,27,27,Công ty CP kinh doanh than Cẩm Phả - Vinacomin,Dịch vụ tro xỉ,615.991.430,,-,,,615991430.0,,
28,28,28,Công ty CP Địa chất và khoáng sản - Vinacomin,Mua dịch vụ,4.918.420.000,,-,,,4918420000.0,,
29,29,29,Công ty CP Vật tư mỏ địa chất - Vimico,Mua dịch vụ,2.334.545.455,,-,,,2334545455.0,,
30,30,30,Tập đoàn công nghiệp Than - Khoáng sản Việt Nam,Phí sử dụng thương hiệu,31.922.356.245,Dịch vụ đưa đón cán bộ,56.177.000,,,31922356245.0,,56177000.0
31,31,31,Công ty công nghiệp hoá chất mỏ Quảng Ninh,Mua dịch vụ,4.918.420.000,,-,,,4918420000.0,,
,,,Cộng,,7.137.221.806.140,,190.932.257.157,,,7137221806140.0,,190932257157.0
