row_label_raw,row_label_full,col_0,1/1/2024VND,Số phát sinh trong năm VND,Số đã nộp/được hoàn trong năm VND,Bù trừ với thuế GTGT đầu vào VND,31/12/2024VND,numeric__1/1/2024VND,numeric__Số phát sinh trong năm VND,numeric__Số đã nộp/được hoàn trong năm VND,numeric__Bù trừ với thuế GTGT đầu vào VND,numeric__31/12/2024VND
+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,+ Thuế thu nhập cá nhân,471.515.668,4.926.580.448,(4.839.012.432),-,559.083.684,471515668.0,4926580448.0,-4839012432.0,,559083684.0
Văn phòng,Văn phòng,Văn phòng,449.218.451,4.755.051.371,(4.668.774.888),-,535.494.934,449218451.0,4755051371.0,-4668774888.0,,535494934.0
Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,Nhà máy Sợi Nam Định,13.547.493,52.935.762,(56.249.621),-,10.233.634,13547493.0,52935762.0,-56249621.0,,10233634.0
Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,6.141.000,43.277.974,(45.617.252),-,3.801.722,6141000.0,43277974.0,-45617252.0,,3801722.0
Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,2.608.724,75.315.341,(68.370.671),-,9.553.394,2608724.0,75315341.0,-68370671.0,,9553394.0
Các khoản phải nộp khác,Các khoản phải nộp khác,Các khoản phải nộp khác,7.562.091.012,4.236.648.497,(11.798.739.509),-,-,7562091012.0,4236648497.0,-11798739509.0,,
"+ Tiền thuê đất, thuế đất","+ Tiền thuê đất, thuế đất","+ Tiền thuê đất, thuế đất",-,4.165.573.428,(4.165.573.428),-,-,,4165573428.0,-4165573428.0,,
Văn phòng,Văn phòng,Văn phòng,-,1.936.024.612,(1.936.024.612),-,-,,1936024612.0,-1936024612.0,,
Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,-,2.179.316.816,(2.179.316.816),-,-,,2179316816.0,-2179316816.0,,
Nhà máy May Quế Sơn,Nhà máy May Quế Sơn,Nhà máy May Quế Sơn,-,50.232.000,(50.232.000),-,-,,50232000.0,-50232000.0,,
+ Các khoản khác,+ Các khoản khác,+ Các khoản khác,7.562.091.012,71.075.069,(7.633.166.081),-,-,7562091012.0,71075069.0,-7633166081.0,,
Văn phòng,Văn phòng,Văn phòng,7.562.091.012,71.075.069,(7.633.166.081),-,-,7562091012.0,71075069.0,-7633166081.0,,
,,,10.833.347.921,61.359.068.579,(30.590.078.543),(39.851.072.936),1.751.265.021,10833347921.0,61359068579.0,-30590078543.0,-39851072936.0,1751265021.0
