row_label_raw,row_label_full,col_0,1/1/2024VND,Số đã nộp trong năm VND,Số phát sinh/ đã bù trừ trong năm VND,31/12/2024VND,numeric__1/1/2024VND,numeric__Số đã nộp trong năm VND,numeric__Số phát sinh/ đã bù trừ trong năm VND,numeric__31/12/2024VND
Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,Thuế,,,,
Thuế thu nhập doanh nghiệp,Thuế > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,204.960.646,456.000.000,-,660.960.646,204960646.0,456000000.0,,660960646.0
Văn phòng,Thuế > Văn phòng,Văn phòng,204.960.646,456.000.000,-,660.960.646,204960646.0,456000000.0,,660960646.0
Thuế GTGT hàng bán nội địa,Thuế > Thuế GTGT hàng bán nội địa,Thuế GTGT hàng bán nội địa,-,456.000.000,-,456.000.000,,456000000.0,,456000000.0
Văn phòng,Thuế > Văn phòng,Văn phòng,-,456.000.000,-,456.000.000,,456000000.0,,456000000.0
Thuế GTGT hàng nhập khẩu,Thuế > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,-,68.348.000,(68.348.000),-,,68348000.0,-68348000.0,
Nhà máy Sợi Phú Cường,Thuế > Nhà máy Sợi Phú Cường,Nhà máy Sợi Phú Cường,-,68.348.000,(68.348.000),-,,68348000.0,-68348000.0,
"Tiền thuê đất, thuế đất","Thuế > Tiền thuê đất, thuế đất","Tiền thuê đất, thuế đất",2.104.668.503,1.403.112.335,(3.507.780.838),-,2104668503.0,1403112335.0,-3507780838.0,
Văn phòng Hà Nội,Thuế > Văn phòng Hà Nội,Văn phòng Hà Nội,996.105.600,664.070.400,(1.660.176.000),-,996105600.0,664070400.0,-1660176000.0,
Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,Thuế > Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,Trung tâm Phát triển Sản xuất và Kinh doanh Vinatex,1.108.562.903,739.041.935,(1.847.604.838),-,1108562903.0,739041935.0,-1847604838.0,
,,,2.309.629.149,2.383.460.335,(3.576.128.838),1.116.960.646,2309629149.0,2383460335.0,-3576128838.0,1116960646.0
