row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,486.313.965.494,1.082.805.268.308,38.911.428.602,51.831.357.969,1.659.862.020.373,486313965494.0,1082805268308.0,38911428602.0,51831357969.0,1659862020373.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,2.209.770.517,7.393.036.363,-,9.602.806.880,,2209770517.0,7393036363.0,,9602806880.0
Tài sản nhận điều chuyển từ công ty con,Nguyên giá > Tài sản nhận điều chuyển từ công ty con,Tài sản nhận điều chuyển từ công ty con,-,37.097.030.585,1.543.031.507,-,38.640.062.092,,37097030585.0,1543031507.0,,38640062092.0
Tài sản điều chuyển cho công ty con,Nguyên giá > Tài sản điều chuyển cho công ty con,Tài sản điều chuyển cho công ty con,(1.284.323.899),(15.250.732.486),(3.696.024.923),-,(20.231.081.308),-1284323899.0,-15250732486.0,-3696024923.0,,-20231081308.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,11.812.611.424,-,-,-,11.812.611.424,11812611424.0,,,,11812611424.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(423.238.200),2.521.714.829,-,(2.098.476.629),-,-423238200.0,2521714829.0,,-2098476629.0,
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(60.594.455),-,-,(60.594.455),,-60594455.0,,,-60594455.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,496.419.014.819,1.109.322.457.298,44.151.471.549,49.732.881.340,1.699.625.825.006,496419014819.0,1109322457298.0,44151471549.0,49732881340.0,1699625825006.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,263.758.412.598,627.401.955.574,28.314.434.274,40.783.687.471,960.258.489.917,263758412598.0,627401955574.0,28314434274.0,40783687471.0,960258489917.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,19.687.937.816,73.862.357.250,3.435.213.704,3.666.512.957,100.652.021.727,19687937816.0,73862357250.0,3435213704.0,3666512957.0,100652021727.0
Tài sản nhận điều chuyển từ công ty con,Giá trị hao mòn lũy kế > Tài sản nhận điều chuyển từ công ty con,Tài sản nhận điều chuyển từ công ty con,-,13.689.286.913,1.407.235.619,-,15.096.522.532,,13689286913.0,1407235619.0,,15096522532.0
Tài sản điều chuyển cho công ty con,Giá trị hao mòn lũy kế > Tài sản điều chuyển cho công ty con,Tài sản điều chuyển cho công ty con,(729.925.021),(8.662.046.210),(3.092.535.573),-,(12.484.506.804),-729925021.0,-8662046210.0,-3092535573.0,,-12484506804.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(423.238.200),423.238.200,-,-,-,-423238200.0,423238200.0,,,
Xóa số,Giá trị hao mòn lũy kế > Xóa số,Xóa số,-,(60.594.455),-,-,(60.594.455),,-60594455.0,,,-60594455.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,282.293.187.193,706.654.197.272,30.064.348.024,44.450.200.428,1.063.461.932.917,282293187193.0,706654197272.0,30064348024.0,44450200428.0,1063461932917.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,222.555.552.896,455.403.312.734,10.596.994.328,11.047.670.498,699.603.530.456,222555552896.0,455403312734.0,10596994328.0,11047670498.0,699603530456.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,214.125.827.626,402.668.260.026,14.087.123.525,5.282.680.912,636.163.892.089,214125827626.0,402668260026.0,14087123525.0,5282680912.0,636163892089.0
