row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá hối đoái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng vốn chủ sở hữu của Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối đoái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng vốn chủ sở hữu của Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,Số dư tại ngày 1 tháng 1 năm 2024,3.998.873.000.000,292.399.641.421,153.153.670.889,103.309.972.911,775.521.309.414,5.323.257.594.635,133.939.804.540,5.457.197.399.175,3998873000000.0,292399641421.0,153153670889.0,103309972911.0,775521309414.0,5323257594635.0,133939804540.0,5457197399175.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,10.510.000.000,(130.000.000),-,-,-,10.380.000.000,-,10.380.000.000,10510000000.0,-130000000.0,,,,10380000000.0,,10380000000.0
Lỗ thuần trong năm,Lỗ thuần trong năm,Lỗ thuần trong năm,-,-,-,-,(197.004.846.660),(197.004.846.660),6.384.573.378,(190.620.273.282),,,,,-197004846660.0,-197004846660.0,6384573378.0,-190620273282.0
Cổ tức (*),Cổ tức (*),Cổ tức (*),-,-,-,-,(300.703.725.000),(300.703.725.000),(6.351.390.960),(307.055.115.960),,,,,-300703725000.0,-300703725000.0,-6351390960.0,-307055115960.0
Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,Giao dịch với cổ đông không kiểm soát,-,-,-,-,-,-,(4.000.000.000),(4.000.000.000),,,,,,,-4000000000.0,-4000000000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,77.552.130.941,(77.552.130.941),-,-,-,,,,77552130941.0,-77552130941.0,,,
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,(38.776.065.470),(38.776.065.470),-,(38.776.065.470),,,,,-38776065470.0,-38776065470.0,,-38776065470.0
Hoàn nhập quỹ,Hoàn nhập quỹ,Hoàn nhập quỹ,-,-,-,(25.688.629.546),51.377.259.092,25.688.629.546,-,25.688.629.546,,,,-25688629546.0,51377259092.0,25688629546.0,,25688629546.0
Sử dụng quỹ,Sử dụng quỹ,Sử dụng quỹ,-,-,-,(33.793.594.427),-,(33.793.594.427),-,(33.793.594.427),,,,-33793594427.0,,-33793594427.0,,-33793594427.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,-,-,-,335.926.163,(28.917.997.416),(28.582.071.253),-,(28.582.071.253),,,,335926163.0,-28917997416.0,-28582071253.0,,-28582071253.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,19.971.654.686,-,-,19.971.654.686,2.436.307.928,22.407.962.614,,,19971654686.0,,,19971654686.0,2436307928.0,22407962614.0
Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,Số dư tại ngày 31 tháng 12 năm 2024,4.009.383.000.000,292.269.641.421,173.125.325.575,121.715.806.042,183.943.803.019,4.780.437.576.057,132.409.294.886,4.912.846.870.943,4009383000000.0,292269641421.0,173125325575.0,121715806042.0,183943803019.0,4780437576057.0,132409294886.0,4912846870943.0
