row_label_raw,row_label_full,STT,Công ty con,Hoạt động chính,% quyền biểu quyết,% quyền biểu quyết_1,% lợi ích kinh tế,% lợi ích kinh tế_1,numeric__Công ty con,numeric__Hoạt động chính,numeric__% quyền biểu quyết,numeric__% quyền biểu quyết_1,numeric__% lợi ích kinh tế,numeric__% lợi ích kinh tế_1
STT,STT,STT,Công ty con,Hoạt động chính,31/12/2025,1/1/2025,31/12/2025,1/1/2025,,,,,,
7.,STT > 7.,7.,Công ty TNHH Nuôi trồng Thủy sản Minh Phú – Lộc An,"Nuôi trồng thủy sản; sản xuất và kinh doanh thực phẩm thủy sản, kinh doanh máy móc và thiết bị phục vụ ngành nuôi trồng thủy sản.","100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
8.,STT > 8.,8.,Công ty TNHH Sản xuất Chế phẩm Sinh học Minh Phú (i),Sản xuất các sản phẩm sinh học và phân bón phục vụ ngành nông nghiệp.,"100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
9.,STT > 9.,9.,Công ty TNHH MTV Chuôi cung ứng Thủy sản Minh Phú,Nuôi trồng sản phẩm thủy sản; chế biến sản phẩm thủy sản; sản xuất thức ăn nuôi trồng thủy sản; kinh doanh máy móc và thiết bị cho nuôi trồng thủy sản.,"100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
10.,STT > 10.,10.,"Ebisumo Logistic Co., Ltd.",Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
11.,STT > 11.,11.,Công ty TNHH Thực phẩm xanh Minh Phú (i),Kinh doanh các sản phẩm nông lâm nghiệp.,"100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
12.,STT > 12.,12.,Công ty TNHH Nông nghiệp Công nghệ cao Minh Phú (i),"Chế biến, bảo quản thủy sản và các sản phẩm từ thủy sản.","100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
13.,STT > 13.,13.,Công ty TNHH Xuất khẩu Thủy sản Minh Phú,Kinh doanh các sản phẩm thủy sản.,"100,00%","100,00%","100,00%","100,00%",,,1.0,1.0,1.0,1.0
14.,STT > 14.,14.,Công ty Cổ phần Công nghệ Otanics,Nghiên cứu khoa học và phát triển công nghệ.,"51,00%","51,00%","51,00%","51,00%",,,0.51,0.51,0.51,0.51
15.,STT > 15.,15.,Công ty TNHH Thức ăn Tôm xanh Minh Phú (ii),"Xây dựng cảng vận tải, cảng đầu khí; kinh doanh đầu khí, kinh doanh các loại máy móc và thiết bị cho sản xuất.","99,95%","99,95%","99,09%","99,09%",,,0.9995,0.9995,0.9909,0.9909
