row_label_raw,row_label_full,col_0,Vốn cổ phần VND,Thặng dư vốn cổ phần VND,Chênh lệch tỷ giá hối doái VND,Quỹ đầu tư phát triển VND,Lợi nhuận sau thuế chưa phân phối VND,Tổng vốn chủ sở hữu của Công ty VND,Lợi ích cổ đông không kiểm soát VND,Tổng VND,numeric__Vốn cổ phần VND,numeric__Thặng dư vốn cổ phần VND,numeric__Chênh lệch tỷ giá hối doái VND,numeric__Quỹ đầu tư phát triển VND,numeric__Lợi nhuận sau thuế chưa phân phối VND,numeric__Tổng vốn chủ sở hữu của Công ty VND,numeric__Lợi ích cổ đông không kiểm soát VND,numeric__Tổng VND
Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,Số dư tại ngày 1 tháng 1 năm 2025,4.009.383.000.000,292.269.641.421,173.125.325.575,121.715.806.042,183.943.803.019,4.780.437.576.057,132.409.294.886,4.912.846.870.943,4009383000000.0,292269641421.0,173125325575.0,121715806042.0,183943803019.0,4780437576057.0,132409294886.0,4912846870943.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,1.547.000.000,(126.555.556),-,-,-,1.420.444.444,-,1.420.444.444,1547000000.0,-126555556.0,,,,1420444444.0,,1420444444.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,523.470.576.449,523.470.576.449,8.567.173.805,532.037.750.254,,,,,523470576449.0,523470576449.0,8567173805.0,532037750254.0
Cổ tức (*),Cổ tức (*),Cổ tức (*),-,-,-,-,(100.273.250.000),(100.273.250.000),(3.120.000.000),(103.393.250.000),,,,,-100273250000.0,-100273250000.0,-3120000000.0,-103393250000.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,35.779.529.987,(35.779.529.987),-,-,-,,,,35779529987.0,-35779529987.0,,,
Hoàn nhập quỹ đầu tư phát triển (**),Hoàn nhập quỹ đầu tư phát triển (**),Hoàn nhập quỹ đầu tư phát triển (**),-,-,-,(121.715.806.042),121.715.806.042,-,-,-,,,,-121715806042.0,121715806042.0,,,
Sử dụng quỹ đầu tư phát triển,Sử dụng quỹ đầu tư phát triển,Sử dụng quỹ đầu tư phát triển,-,-,-,(35.210.834.058),-,(35.210.834.058),-,(35.210.834.058),,,,-35210834058.0,,-35210834058.0,,-35210834058.0
"Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng, phúc lợi (Thuyết minh 19)",-,-,-,-,(19.269.738.493),(19.269.738.493),-,(19.269.738.493),,,,,-19269738493.0,-19269738493.0,,-19269738493.0
"Hoàn nhập quỹ khen thưởng, phúc lợi (Thuyết minh 19) (**)","Hoàn nhập quỹ khen thưởng, phúc lợi (Thuyết minh 19) (**)","Hoàn nhập quỹ khen thưởng, phúc lợi (Thuyết minh 19) (**)",-,-,-,-,79.735.160.575,79.735.160.575,-,79.735.160.575,,,,,79735160575.0,79735160575.0,,79735160575.0
Các điều chỉnh khác,Các điều chỉnh khác,Các điều chỉnh khác,-,-,-,-,(26.906.538.036),(26.906.538.036),-,(26.906.538.036),,,,,-26906538036.0,-26906538036.0,,-26906538036.0
Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,Chênh lệch quy đổi tiền tệ,-,-,18.527.013.978,-,-,18.527.013.978,815.719.136,19.342.733.114,,,18527013978.0,,,18527013978.0,815719136.0,19342733114.0
Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,Số dư tại ngày 31 tháng 12 năm 2025,4.010.930.000.000,292.143.085.865,191.652.339.553,568.695.929,726.636.289.569,5.221.930.410.916,138.672.187.827,5.360.602.598.743,4010930000000.0,292143085865.0,191652339553.0,568695929.0,726636289569.0,5221930410916.0,138672187827.0,5360602598743.0
