row_label_raw,row_label_full,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2025,Tổng tài sảnVND,Tổng nợ phải trảVND,Tổng vốn chủ sở hữuVND,Lợi nhuận thuần sau thuế VND,numeric__Tổng tài sảnVND,numeric__Tổng nợ phải trảVND,numeric__Tổng vốn chủ sở hữuVND,numeric__Lợi nhuận thuần sau thuế VND
Aquamekong,Aquamekong,Aquamekong,71.135.660.762,35.762.997.128,35.372.663.634,2.722.588.713,71135660762.0,35762997128.0,35372663634.0,2722588713.0
Mekong Logistics,Mekong Logistics,Mekong Logistics,457.678.274.731,117.895.846.888,339.782.427.843,13.122.988.482,457678274731.0,117895846888.0,339782427843.0,13122988482.0
Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2024,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2024,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2024,Tổng tài sảnVND,Tổng nợ phải trảVND,Tổng vốn chủ sở hữuVND,Lợi nhuận thuần sau thuế VND,,,,
Aquamekong,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2024 > Aquamekong,Aquamekong,70.277.231.197,37.627.156.276,32.650.074.921,6.522.103.462,70277231197.0,37627156276.0,32650074921.0,6522103462.0
Mekong Logistics,Tại ngày và cho năm kết thúc ngày31 tháng 12 năm 2024 > Mekong Logistics,Mekong Logistics,370.890.319.127,42.700.938.578,328.189.380.549,30.598.823.766,370890319127.0,42700938578.0,328189380549.0,30598823766.0
